model,n_params,n_x,n_valid,n_total,n_diverged,one_step_mse,one_step_mse_dim0,one_step_mse_dim1,one_step_mse_dim2,one_step_mse_dim3,nrmse_1step,nrmse_1step_dim0,nrmse_1step_dim1,nrmse_1step_dim2,nrmse_1step_dim3,nrmse_10step,nrmse_10step_dim0,nrmse_10step_dim1,nrmse_10step_dim2,nrmse_10step_dim3,nrmse_20step,nrmse_20step_dim0,nrmse_20step_dim1,nrmse_20step_dim2,nrmse_20step_dim3,nrmse_50step,nrmse_50step_dim0,nrmse_50step_dim1,nrmse_50step_dim2,nrmse_50step_dim3,nrmse_100step,nrmse_100step_dim0,nrmse_100step_dim1,nrmse_100step_dim2,nrmse_100step_dim3,nrmse_500step,nrmse_500step_dim0,nrmse_500step_dim1,nrmse_500step_dim2,nrmse_500step_dim3,nrmse_1000step,nrmse_1000step_dim0,nrmse_1000step_dim1,nrmse_1000step_dim2,nrmse_1000step_dim3,chamfer_1step,chamfer_10step,chamfer_20step,chamfer_50step,chamfer_100step,chamfer_500step,chamfer_1000step,divergence_1step,divergence_1step_dim0,divergence_1step_dim1,divergence_1step_dim2,divergence_1step_dim3,divergence_10step,divergence_10step_dim0,divergence_10step_dim1,divergence_10step_dim2,divergence_10step_dim3,divergence_20step,divergence_20step_dim0,divergence_20step_dim1,divergence_20step_dim2,divergence_20step_dim3,divergence_50step,divergence_50step_dim0,divergence_50step_dim1,divergence_50step_dim2,divergence_50step_dim3,divergence_100step,divergence_100step_dim0,divergence_100step_dim1,divergence_100step_dim2,divergence_100step_dim3,divergence_500step,divergence_500step_dim0,divergence_500step_dim1,divergence_500step_dim2,divergence_500step_dim3,divergence_1000step,divergence_1000step_dim0,divergence_1000step_dim1,divergence_1000step_dim2,divergence_1000step_dim3,reconstruction_error,recon_error_dim0,recon_error_dim1,recon_error_dim2,recon_error_dim3,spectral_radius
VAR (ARIMA),160,4,10,10,0,0.0028214760532137007,0.0005964569633168342,0.0026724068473656113,0.0006527742432422512,0.001721314138834093,0.014930342702056157,0.012700935499742627,0.019505888409912586,0.01391232837922871,0.012502568001946202,0.0907955123931554,0.07556568305008113,0.12300113569945097,0.07543631508015096,0.08028207030147314,0.17229624382143827,0.14395754225552082,0.2405191209167242,0.123127454938367,0.15814673844724894,0.4333969336155283,0.33513629138469697,0.5588870570063591,0.277830845490098,0.49947027266025545,0.6665055604269268,0.49996533468365667,0.7635272145271301,0.43261459916830064,0.8699563860893249,0.9805981251151024,0.9211849719285965,1.0288090646266936,1.0283716291189193,0.9389955699443817,1.1612533018939974,1.1838052690029144,1.0620978057384491,1.3488243460655212,1.0223811149597168,0.06444539166986943,0.5598967909812927,1.1084053635597229,2.860640799999237,4.803427004814148,8.101486706733704,11.04753303527832,14.56919282685156,14.1991623878479,15.225884628295898,14.50112705230713,14.328958702087402,0.9078808305032774,0.8621570289134979,0.9315199375152587,0.877546352148056,0.9570050537586212,0.3231543078184846,0.32520543336868285,0.34070265889167783,0.2835259258747101,0.339839668571949,0.08811149145975974,0.07894822955131531,0.0862183578312397,0.07745372764766216,0.10671940594911575,0.031556931934181395,0.025495671294629575,0.02400961946696043,0.03125603459775448,0.042189205158501865,0.0031398139048070153,0.004017207604192663,0.0017385405062668724,0.004227585799526423,0.001549439804512076,0.0011676170000675802,0.001390325567263062,0.00045232806442072613,0.001594055857276544,0.000880169244192075,0.0,0.0,0.0,0.0,0.0,
eDMD,17956,4,9,10,1,0.0005620127674774266,4.969457780377388e-08,0.00020875037916280923,1.6789946950267665e-07,0.0009150571801254797,0.005514878902039074,0.00016937847458393663,0.005783860280644149,0.00024158935630111956,0.009386983700096607,0.035992407845584516,0.004887011952814646,0.037582969444338234,0.005777087761089206,0.06092681239824742,0.07643619737924384,0.02023524938849732,0.0865411650389433,0.02386717335321009,0.12207165334839373,0.2559849254924155,0.1545421728864312,0.3208272306248546,0.14506990755908192,0.338015465810895,0.4596744992256535,0.34908021945092416,0.5141290260685815,0.2892872786356343,0.6126416540808148,0.8597940416288608,0.8295469880104065,0.9313007129563226,0.8559403916200002,0.817850841416253,1.0884760118450751,1.1005030406845941,1.0573225087589688,1.1956907047165766,0.9901545445124308,0.03069243598729372,0.2446606993675232,0.5173217713832855,1.5472029864788055,inf,inf,inf,12.124775648153902,9.677809715270996,13.26031494140625,10.262413597106933,14.602316665649415,0.8619399196860252,0.828129243850708,0.8398191392421722,0.8862082540988923,0.8917972862720489,0.3531477211316176,0.35898572504520415,0.3495155781507492,0.38978964984416964,0.3096536621451378,0.12243564891438112,0.14311948791146278,0.11451495252549648,0.13280967995524406,0.0934166967868805,0.049496548462339904,0.058697544866138034,0.04287735310693582,0.05442140499750773,0.039421754578749336,0.004820293080905615,0.006026241566158003,0.0032830171274124747,0.006119035908745395,0.0028990536763255173,0.0018248499967110495,0.0020939957293093256,0.0011018219722447814,0.00244531702689225,0.0013198124514828022,1.578403516433322e-15,2.997285990476784e-15,4.822029263172075e-16,2.1189772524956065e-15,7.151478964436884e-16,
KAE Baseline,40872,4,10,10,0,0.00235631717951037,0.0015489994911713524,0.002001486669903005,0.0002212968707134458,0.0009408506026425166,0.01711937910888737,0.028079640958458184,0.016900578141212465,0.00593924211570993,0.007932350819464773,0.031234939950905188,0.02914208355359733,0.042728605400770905,0.01747367330826819,0.03036711844615638,0.058733333805427904,0.04707674155943096,0.08931173868477345,0.02725898949429393,0.053502889908850194,0.2415030669468297,0.14312287531793116,0.3413523241877556,0.0951010155491531,0.29537290930747984,0.812890321807789,0.7283507402986288,0.9657345235347747,0.5832125976681709,0.9164539247751236,1.8428657118500398,2.59328630566597,1.1665413856506348,2.032489538192749,1.1694655776023866,1.9356116485238244,2.6007391810417175,1.1903391122817992,2.3276117920875548,1.1780669212341308,0.06382023803889751,0.18629548996686934,0.3361653372645378,1.3792887538671494,3.9625257730484007,8.107290983200073,10.167957544326782,14.644940569066657,14.994349479675293,15.191432571411132,13.716028785705566,14.634122848510742,0.7621199595221554,0.6815389901399612,0.7379888415336608,0.7791792452335358,0.8408710420131683,0.27958735222906117,0.24883766546845437,0.3003678828477859,0.268567381799221,0.29733291566371917,0.09283951355047014,0.07189849242568017,0.10953815951943398,0.08317049164325,0.10193806365132332,0.05045455409154405,0.04327825335785747,0.0494367316365242,0.05654078477527946,0.05166033413261175,0.004745744135598057,0.005609938112320379,0.0023110568639822305,0.007046918012201786,0.0019018166785826907,0.0014159834892543226,0.0016209051987971178,0.000656466995133087,0.0021041066444013267,0.000731087968142674,1.578403516433322e-15,2.997285990476784e-15,4.822029263172075e-16,2.1189772524956065e-15,7.151478964436884e-16,
Advanced KAE (1 Expert),108344,4,10,10,0,0.0037545109051279725,0.0013827769984711582,0.0022765152286030642,0.0018486062199906048,0.0020011257271123424,0.024832599396355678,0.03687583403661847,0.017073213931871577,0.025928233470767736,0.011959803942590951,0.05992500549528782,0.05311551734339446,0.06864735633134841,0.05148598924279213,0.06464905515313149,0.09735716020511974,0.07397028151899576,0.12004016730934382,0.08052235804498195,0.10746428295969963,0.23589570587417097,0.12374146059155464,0.3061562743037939,0.1387873080559075,0.3070530995726585,0.4129757382402729,0.19402831103652715,0.44167112857103347,0.32861705161631105,0.5843682944774627,1.3790514907619937,2.1239079743623734,1.0509988844394684,1.0630484163761138,0.9281575202941894,1.59282763892451,2.4452980160713196,1.0994575798511506,1.376468688249588,1.0322035372257232,0.0825249683111906,0.4144978255033493,0.677257564663887,1.5878485441207886,2.864108884334564,7.221525049209594,9.705321574211121,14.900002193172972,14.953905963897705,14.717532348632812,14.855365753173828,15.070942497253418,0.8437189464238555,0.7694228380918503,0.909168142080307,0.7750587344169617,0.9100177943706512,0.28313803343973243,0.26846472844481467,0.3081934466958046,0.24772727563977243,0.30371577143669126,0.07707715783210616,0.05635862755589187,0.08696706909686328,0.07542136814445258,0.0856481421738863,0.03189126906490801,0.0208929973654449,0.026179113518446685,0.03954925090074539,0.03717802576720715,0.005378343061688679,0.008216580934822559,0.0032663768157362937,0.005400776764145121,0.0028907588864967694,0.001686681660139861,0.0023399115772917865,0.0009402062103617936,0.0019997540162876247,0.0010106384404934942,1.578403516433322e-15,2.997285990476784e-15,4.822029263172075e-16,2.1189772524956065e-15,7.151478964436884e-16,1.0065971612930298
MoE (2 Experts),112634,4,10,10,0,0.006369372142944485,0.0014896386520637094,0.0026966623619020867,0.001757567502290833,0.006794874656774984,0.02187225143148842,0.022209628636483104,0.01740041272714734,0.023997372179292143,0.0232737124664709,0.04964277470193394,0.036268204217776656,0.029132794542238116,0.052311627613380554,0.0704060479067266,0.07750810812161502,0.044877947913482784,0.04986170306801796,0.08174629071727395,0.11334615834057331,0.21350403991649242,0.13818857800215484,0.23206202760338784,0.13451052345335485,0.30214888975024223,0.3813087688621252,0.32849032022058966,0.4455375447869301,0.2033039815723896,0.4835735782980919,1.1741007802740784,1.2222700715065002,1.1820959210395814,1.288468563556671,0.9811240673065186,1.4095021594235564,1.5657325983047485,1.1985658586025238,1.7082221567630769,1.06802796125412,0.08808603510260582,0.3706033542752266,0.6002905875444412,1.4507013797760009,2.6763470351696013,6.82934867143631,9.792839300632476,14.904183269843193,14.496358108520507,14.881046295166016,14.838746261596679,15.387020111083984,0.7908806365639489,0.7451633989810944,0.7261586785316467,0.7933490693569183,0.8888144135475159,0.27177844057915657,0.2329478845000267,0.2618806228041649,0.27022660672664645,0.3155716821551323,0.08631342570814593,0.08170504197478294,0.10559529960155487,0.07006424479186535,0.08405325841158628,0.03386606864517705,0.036548899859189986,0.04311549812555313,0.023681123135611416,0.028845772123895587,0.005062347275052638,0.006230309628881514,0.004345856397412718,0.006132220954168588,0.002683669130783528,0.001767171880067808,0.0024081780458800493,0.000825873356370721,0.0022711601021001117,0.0009230543342710007,1.578403516433322e-15,2.997285990476784e-15,4.822029263172075e-16,2.1189772524956065e-15,7.151478964436884e-16,1.0031118392944336
MoE (3 Experts),113467,4,10,10,0,0.005621649860404432,0.001867307847741057,0.00392994510811801,0.0012429244463245796,0.004203121559712274,0.02664982273073677,0.03762964984634891,0.02303352060262114,0.024456304652267134,0.017210687091574074,0.04494702168126261,0.05004985369741917,0.03444274626672268,0.040815377375110984,0.05218959068879485,0.0785238099555137,0.08814604114741087,0.05520775895565748,0.06526843570172787,0.09790998417884111,0.2241069169339817,0.2386460647918284,0.2154506217688322,0.16141907982528209,0.26733613088727,0.3849352581370233,0.3494992878288031,0.41848527193069457,0.2400757499039173,0.487631593644619,1.1740986732072345,1.0434404850006103,1.1713136434555054,1.5182596087455749,0.8649710059165955,1.5439505551906048,1.6350912392139434,1.2353141903877258,2.090033143758774,0.9835498034954071,0.09197279587388038,0.3268588848412037,0.5291394770145417,1.2580700933933258,2.56877658367157,7.0679240226745605,9.888478136062622,14.958885434639894,14.776494407653809,15.414701461791992,14.136541748046875,15.468464469909668,0.7576080592025319,0.6266144514083862,0.716141527891159,0.8238465309143066,0.8435949385166168,0.2811528915402297,0.2644212990999222,0.25557645633816717,0.2807167261838913,0.319605952501297,0.0810453446585597,0.08630798291414976,0.08125617038458585,0.07276644064113498,0.08322742059826851,0.0342911127637565,0.031148073787335306,0.0375657326541841,0.03408660609275103,0.034062269050627945,0.005136846407178295,0.005827159783802926,0.004076827282551676,0.006917378143407404,0.002668769721640274,0.0020241583922641676,0.002454517032310832,0.0011157127446494997,0.002768307225778699,0.0012065964947396424,1.578403516433322e-15,2.997285990476784e-15,4.822029263172075e-16,2.1189772524956065e-15,7.151478964436884e-16,1.0067716836929321
MoE (4 Experts),114300,4,10,10,0,0.0047668308252468705,0.002167660913435345,0.0028990721715635116,0.0022506070446041944,0.0022163209100909886,0.027350550604769243,0.033887075586244465,0.016763782466296107,0.0371545332367532,0.013505289301974699,0.04594954328830624,0.04790512789040804,0.03412340634968132,0.04913284671492875,0.05071584908291697,0.07074283919382458,0.08270041435025632,0.05548808262683451,0.05906982822343707,0.08130600675940514,0.18137318839773228,0.11865430753678083,0.19329894818365573,0.09854946918785572,0.2653857719153166,0.3425740256073156,0.24106654729694127,0.36181950867176055,0.17864774875342845,0.4984840989112854,1.1931172667152798,1.3622441112995147,1.2043003261089325,1.253076148033142,0.9043600618839264,1.7344497013777305,2.2416648268699646,1.2612111449241639,2.0476566672325136,1.106639277935028,0.08641598522663116,0.30632822066545484,0.5094805732369423,1.2773912787437438,2.488449442386627,6.909931886196136,10.053144478797913,15.039863413776224,15.099131774902343,14.970504570007325,15.104343605041503,14.98495855331421,0.783558127939339,0.7186130434274673,0.7946231961250305,0.732735139131546,0.8781354367733002,0.2705684804659806,0.2711411565542221,0.2660072177648544,0.2536175087094307,0.2902240566909313,0.07830761599914296,0.07016400042921304,0.08925846759229898,0.060660280659794806,0.08921098727732897,0.033287995680797135,0.030004722811281682,0.03538366137072444,0.032863137684762476,0.034642314072698355,0.005926358608362857,0.007359503232873976,0.005132888071238994,0.00703210812062025,0.003244616003939882,0.0023166165956177496,0.0029365895607043058,0.0011859814869239927,0.003003031632397324,0.0015551657415926456,1.578403516433322e-15,2.997285990476784e-15,4.822029263172075e-16,2.1189772524956065e-15,7.151478964436884e-16,1.011959433555603
