model,n_params,n_x,n_valid,n_total,n_diverged,one_step_mse,one_step_mse_dim0,one_step_mse_dim1,nrmse_1step,nrmse_1step_dim0,nrmse_1step_dim1,nrmse_10step,nrmse_10step_dim0,nrmse_10step_dim1,nrmse_20step,nrmse_20step_dim0,nrmse_20step_dim1,nrmse_30step,nrmse_30step_dim0,nrmse_30step_dim1,nrmse_40step,nrmse_40step_dim0,nrmse_40step_dim1,nrmse_50step,nrmse_50step_dim0,nrmse_50step_dim1,nrmse_60step,nrmse_60step_dim0,nrmse_60step_dim1,nrmse_70step,nrmse_70step_dim0,nrmse_70step_dim1,nrmse_80step,nrmse_80step_dim0,nrmse_80step_dim1,nrmse_90step,nrmse_90step_dim0,nrmse_90step_dim1,nrmse_100step,nrmse_100step_dim0,nrmse_100step_dim1,nrmse_110step,nrmse_110step_dim0,nrmse_110step_dim1,nrmse_120step,nrmse_120step_dim0,nrmse_120step_dim1,nrmse_130step,nrmse_130step_dim0,nrmse_130step_dim1,nrmse_140step,nrmse_140step_dim0,nrmse_140step_dim1,nrmse_150step,nrmse_150step_dim0,nrmse_150step_dim1,nrmse_160step,nrmse_160step_dim0,nrmse_160step_dim1,nrmse_170step,nrmse_170step_dim0,nrmse_170step_dim1,nrmse_180step,nrmse_180step_dim0,nrmse_180step_dim1,nrmse_190step,nrmse_190step_dim0,nrmse_190step_dim1,nrmse_200step,nrmse_200step_dim0,nrmse_200step_dim1,nrmse_300step,nrmse_300step_dim0,nrmse_300step_dim1,nrmse_400step,nrmse_400step_dim0,nrmse_400step_dim1,nrmse_500step,nrmse_500step_dim0,nrmse_500step_dim1,nrmse_1000step,nrmse_1000step_dim0,nrmse_1000step_dim1,chamfer_1step,chamfer_10step,chamfer_20step,chamfer_30step,chamfer_40step,chamfer_50step,chamfer_60step,chamfer_70step,chamfer_80step,chamfer_90step,chamfer_100step,chamfer_110step,chamfer_120step,chamfer_130step,chamfer_140step,chamfer_150step,chamfer_160step,chamfer_170step,chamfer_180step,chamfer_190step,chamfer_200step,chamfer_300step,chamfer_400step,chamfer_500step,chamfer_1000step,divergence_1step,divergence_1step_dim0,divergence_1step_dim1,divergence_10step,divergence_10step_dim0,divergence_10step_dim1,divergence_20step,divergence_20step_dim0,divergence_20step_dim1,divergence_30step,divergence_30step_dim0,divergence_30step_dim1,divergence_40step,divergence_40step_dim0,divergence_40step_dim1,divergence_50step,divergence_50step_dim0,divergence_50step_dim1,divergence_60step,divergence_60step_dim0,divergence_60step_dim1,divergence_70step,divergence_70step_dim0,divergence_70step_dim1,divergence_80step,divergence_80step_dim0,divergence_80step_dim1,divergence_90step,divergence_90step_dim0,divergence_90step_dim1,divergence_100step,divergence_100step_dim0,divergence_100step_dim1,divergence_110step,divergence_110step_dim0,divergence_110step_dim1,divergence_120step,divergence_120step_dim0,divergence_120step_dim1,divergence_130step,divergence_130step_dim0,divergence_130step_dim1,divergence_140step,divergence_140step_dim0,divergence_140step_dim1,divergence_150step,divergence_150step_dim0,divergence_150step_dim1,divergence_160step,divergence_160step_dim0,divergence_160step_dim1,divergence_170step,divergence_170step_dim0,divergence_170step_dim1,divergence_180step,divergence_180step_dim0,divergence_180step_dim1,divergence_190step,divergence_190step_dim0,divergence_190step_dim1,divergence_200step,divergence_200step_dim0,divergence_200step_dim1,divergence_300step,divergence_300step_dim0,divergence_300step_dim1,divergence_400step,divergence_400step_dim0,divergence_400step_dim1,divergence_500step,divergence_500step_dim0,divergence_500step_dim1,divergence_1000step,divergence_1000step_dim0,divergence_1000step_dim1,reconstruction_error,recon_error_dim0,recon_error_dim1,spectral_radius
VAR (ARIMA),40,2,100,100,0,0.0002601248253290578,0.0001255840421474917,0.0003946655862491436,0.017617332028949977,0.015727606954606017,0.019323124879738317,0.10788672135301458,0.09828829041565769,0.11669833441730589,0.20350753623511636,0.18956033658236265,0.2165583371836692,0.2919202899985299,0.278018384501338,0.305189595669508,0.37302360406896845,0.36298833986744283,0.38279587707482277,0.4467927241438111,0.44432855542749167,0.4492433767206967,0.5134560452951974,0.5217457081750035,0.5050303326547145,0.5735194919672443,0.5948531146720052,0.5513610317185521,0.6276141423706788,0.6634412901103497,0.5896140076220036,0.6764484727607628,0.7275986213982105,0.6211000875383615,0.7209149475942463,0.7877301022410392,0.647238757610321,0.76193514490429,0.8443638169765473,0.6694326513260603,0.8002140639801718,0.8979585123062134,0.6887347868084908,0.8361554725058876,0.9488406172394752,0.7057006670534611,0.8699551531496997,0.997248120456934,0.7205137911438942,0.9017322505433014,1.0433529332280158,0.7332508166134357,0.9315947970629438,1.0872257846593856,0.7440953063964844,0.9596425197092379,1.1288158322870732,0.7533938863873482,0.9859532645195334,1.167985438555479,0.7615889278054238,1.0105786990374857,1.2045704898238183,0.7691219337284565,1.0335459816192212,1.2384302619099616,0.776353707164526,1.1754622013948834,1.4342985698580741,0.8403632466495037,1.2404560178694084,1.510269216299057,0.8924960273504258,1.2905573660501868,1.575050677061081,0.9221127885580063,1.3671220781041251,1.6723929786682128,0.9701274544000625,0.016957510237116367,0.15100619204342366,0.29282165225595236,0.4243542741984129,0.5443639046698808,0.6536543155461549,0.7525595337152481,0.8429134261608123,0.9266538043320179,1.0046983121335507,1.078875242471695,1.1493973894417286,1.216185550838709,1.279011304974556,1.3373107999563216,1.3917155307531357,1.4418642792105674,1.4872532427310943,1.5281561088562012,1.5659060150384903,1.600963978767395,1.8649247840046883,2.024561311304569,2.0720594906806946,2.140767934322357,13.753674753014442,13.545663452148437,13.95858660697937,0.868305208725803,0.860510613322258,0.8760304534435273,0.316424189292025,0.31453961282968523,0.31829760774970056,0.1763209003506225,0.17548945538699626,0.17714844297617674,0.11774351214795128,0.11721092622727156,0.11827369986101985,0.08661331201564679,0.08677368428558112,0.0864526422508061,0.06740972038814622,0.0682920529693365,0.06651568466797471,0.05437683157372848,0.055330170625820754,0.05340647753328085,0.044594994829463046,0.045422467897005846,0.043751874677836894,0.036987530432959485,0.03784093643844244,0.03611396329011768,0.031390594369298135,0.03226540729750923,0.03049069237720687,0.026909060857329935,0.02764758099514438,0.026149691729806364,0.023506526371320384,0.02413828046177514,0.022857317875023,0.020902901828130822,0.02162196442091954,0.020158205878833543,0.018733629761224998,0.019766249993335806,0.017640666916595365,0.01699298708369095,0.01834472520844429,0.015523990372312255,0.015504541888754057,0.01709382243687287,0.013732547937543131,0.014281257602015153,0.015995098424373282,0.012331482627196237,0.013171887475101925,0.014942255505011416,0.011123229734948836,0.012159502630866664,0.013928616202028933,0.010084674469544553,0.011260560574962955,0.012964376979944063,0.009247993211865833,0.005951977419555768,0.006772615849913563,0.0049983742312178945,0.0036672085305313783,0.003959477984353726,0.00334953293822025,0.0026386494007135403,0.0029383342940127477,0.0023002462686417856,0.0007618623331866189,0.000863615736925567,0.0006442331009748159,0.0,0.0,0.0,
eDMD,625,2,84,100,16,5.411044491909766e-07,5.3597392082312e-09,1.0768488334667774e-06,0.0008425231467164247,9.938791964259508e-05,0.0011873552741008097,0.005727798892047327,0.0006705401561885083,0.008072529727069195,0.011200455513869856,0.0016417750962968317,0.015754522587801092,0.019855089422472265,0.003212674826500006,0.027894943491749775,0.019935863625921296,0.005051862503138469,0.027737267390138615,0.024662049735151313,0.007467087624552009,0.03406869525951083,0.027324810102418873,0.010109511222570132,0.037297295841752835,0.03290992525913303,0.013164790810349034,0.044640952544084386,0.04061713738040906,0.01679768425266637,0.05493033316579985,5.608755735912851,0.1180347059572147,7.9311001518364534,0.044779870919890906,0.02547796233827898,0.05797712578503198,0.04889969798621999,0.02986498316073097,0.06237342147979626,inf,inf,inf,0.05691939814171387,0.039387545605201184,0.07020154571537637,0.06085731755928845,0.0439259899971408,0.07401171261222944,0.06504541883883472,0.0484319301959615,0.07820588955655694,0.06955922670637672,0.05291624027553813,0.08292673606913359,0.07440147294955367,0.05741482505497212,0.08817423783641841,0.07945939735535806,0.06199475619775642,0.09372428639437116,0.0845737138479429,0.06674444547943062,0.09925021483962025,0.08965296137471075,0.0717450102979672,0.10453688566173826,0.14828128285747735,0.13319284928729758,0.1619701904377767,0.22183479824631253,0.20528266481622787,0.23723486875228228,0.30442660499613267,0.28863915851217736,0.3194347379862198,0.6243045708286917,0.6358923589245283,0.6124975936088178,0.0009254776727902936,0.00988817270990694,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9.886725639631527,8.476927032470703,11.119190430641174,0.6987681872208157,0.6318111106753349,0.7598478001356125,0.2760525406499707,0.26767056682432183,0.2841873995351548,0.16792284168445684,0.17869255771317208,0.15641333490687734,0.1197818850360892,0.1335442090658226,0.10421777291125373,0.09123999308534878,0.10521091795175948,0.07470030401663114,0.07265318997696854,0.08532846744745494,0.05723656760085799,0.06014160770229233,0.0712902890417077,0.04638664293072551,0.05154866106663033,0.06173038534861017,0.03878000051878229,0.04572831979991988,0.05520712282885326,0.033679846383369946,0.04076768858489769,0.04983849313277968,0.02898505593170845,0.03676474163484699,0.04496138715618398,0.02611065146536634,0.033392531183638045,0.04068216323300243,0.02398090641289072,0.029539301308504972,0.03617018684218194,0.020901153733488866,0.026991510760026493,0.03315534164894849,0.01891577718093426,0.025073563880180626,0.030772161890386736,0.017619343458223045,0.02343366970213847,0.028697040982522248,0.01657569275370666,0.02202790097205507,0.026818042526775526,0.015850849740672857,0.02075393740444625,0.025036848937383012,0.015316919757640875,0.01959712177518461,0.023428013268303835,0.014806166216918168,0.018616640839768304,0.022147612829160477,0.014235233692618619,0.013287701968487104,0.015982646073791244,0.009883373497272953,0.010094235313826309,0.012006574308976442,0.007722004047190282,0.008036427894167562,0.009633277082771417,0.006030615162888439,0.0036555502097483997,0.004441639447274308,0.002645360786811493,8.091967745197397e-16,8.207238224329212e-16,7.976697266065581e-16,
KAE Baseline,37488,2,100,100,0,1.8801047677499127e-05,2.1089303132705563e-05,1.6512760154948255e-05,0.005612655258646582,0.00622543596829928,0.004924199946126464,0.015566461995028598,0.009746940722689033,0.01973896209616214,0.029334230112234263,0.018150173007743433,0.03730369059951045,0.04407064653683538,0.02788364935782738,0.05573998448904604,0.05992978178086546,0.038048720885999504,0.07573276917915792,0.07649990805466367,0.04826797178015113,0.09682290413416922,0.09389796842519081,0.05853366125375033,0.11919508147984743,0.11251841791057135,0.0692856575595215,0.14324903627857566,0.13263213057937556,0.08085314460564405,0.16924932239577173,0.15448369851901525,0.09382125755771994,0.1973017938248813,0.1785475931495724,0.10934093034826219,0.22760282728821038,0.2051174057003871,0.12796358195133506,0.2603298329748213,0.23448434007694782,0.14999353474006058,0.29574947340413926,0.2662273901643541,0.17515285659581423,0.33327994745224715,0.29954291676659417,0.2025923998840153,0.3720325758308172,0.33394292358691385,0.23183020947501062,0.4114492756128311,0.36924859666604226,0.26272033955901863,0.45129488747566937,0.4051030612239744,0.2948508593998849,0.4912025561183691,0.441279012823788,0.32826236432418227,0.5307524418085814,0.4776574456402891,0.36311844270676374,0.5696123833954334,0.5141068666829137,0.39960787635296585,0.607392201051116,0.8627873256815021,0.863366958796978,0.8622073028981686,1.1805505339375522,1.3616540097445249,0.9660732291638852,1.3972702141880096,1.6683908319473266,1.058867383003235,1.586575517953942,1.7906930273771287,1.3519845524430274,0.005141594716988039,0.02468917434569448,0.04397389450110495,0.06327100197784602,0.08299009145237506,0.10281979428604245,0.12287267059087753,0.14401774605736137,0.16637088110670448,0.19014198718592523,0.21477922223508358,0.24021182220429182,0.26622888721525667,0.29188803501427174,0.3166563680768013,0.34141902040690186,0.36688440904021263,0.39288693547248843,0.4191140989214182,0.44541273824870586,0.4717507740110159,0.7057038663327694,0.9297088930010795,1.0520421200990677,0.9452417263388634,12.39025258096642,12.495166215896607,12.284442977905274,0.7237859120733812,0.6583239012956619,0.783799549639225,0.26969815825038146,0.24791909845080226,0.28984532728791235,0.1571492873736355,0.14982456448546144,0.16414748527109624,0.11152755722947907,0.10772173212841153,0.11520772747695446,0.08461899276997584,0.08213789012283086,0.08702939090318978,0.06739619245985028,0.06528467578114942,0.06944353551138192,0.056226370322818395,0.05421626181807369,0.05816705591510982,0.04839778084262444,0.04686991630936973,0.04987886652816087,0.04236435252971797,0.04110295719699934,0.04358926060609519,0.03785777835620808,0.0371589146880433,0.03854397259419784,0.034635574538515644,0.03431471542920917,0.03495348841301166,0.031972817152492276,0.03184958208308672,0.03209557904861868,0.029510531884052223,0.029860773128457366,0.029156083624693564,0.027295758311598153,0.028028759139124303,0.026542522576637567,0.025442952442925673,0.026454064578865656,0.024389959517866374,0.023928072833347854,0.025171651106793435,0.022616218065668364,0.022564551160124627,0.023863248331472277,0.021186394624528475,0.02128538389071793,0.02257815682794899,0.01990884147817269,0.020143951856223048,0.021501897072885186,0.018687589867040513,0.019209443869139645,0.020525378671009092,0.017796468692831694,0.012568489781536147,0.01414979670662433,0.010757189407013357,0.008867415515332709,0.010314749785466119,0.007132184287183918,0.006963188980258151,0.00813089164556004,0.005555232002152479,0.002484903461091968,0.002753085272925091,0.0021840356915345184,8.091967745197397e-16,8.207238224329212e-16,7.976697266065581e-16,
Advanced KAE (1 Expert),104660,2,100,100,0,0.0004110198870466775,0.00037529164533082153,0.00044674807082053397,0.02212854487980547,0.022571738013793946,0.021676292119082063,0.02682534249741581,0.026334544568671844,0.027307320677209646,0.03440269873816959,0.03319100867956877,0.03557314020115882,0.04118201952810846,0.040672277201665566,0.0416855290485546,0.04723433411174435,0.047551437336951496,0.04691508760675788,0.05256736061780069,0.05458821932785213,0.05046564291929826,0.05718099522974211,0.061252817842178044,0.05279606744181365,0.06154921628250192,0.06761198186548427,0.054819995970465246,0.0661421185151151,0.07370909741148353,0.057589310137555,0.07184949063093368,0.0806949523370713,0.061749682389199735,0.07917565177278564,0.08980018768459558,0.06688418317586184,0.08758348106639172,0.10055075885728001,0.07232756877318025,0.0956728773418617,0.11082252572290599,0.07762065904214978,0.10295418318548806,0.11981763871386647,0.08272158801555633,0.10971711783496722,0.1277925079036504,0.08800435679964722,0.11640292074575594,0.13536057578399777,0.09368454749695956,0.1233698601406114,0.14304527312517165,0.09989141413941979,0.13097925085113063,0.15144726063124836,0.10665296786464751,0.13915646129930725,0.1604110332392156,0.11400588518939912,0.1476709974834756,0.16962440006434917,0.12182368365116418,0.15639944780406292,0.17914378115907312,0.12972694484516978,0.2698841357682729,0.29115416046231984,0.24678765837103128,0.38181965121613837,0.3614589847251773,0.401148220077157,0.46829199110264524,0.45845594577491283,0.47792564656585457,0.9329638426543299,0.9422274915874005,0.9236072853207589,0.01746428439859301,0.03206500588450581,0.04158387673087418,0.05069294300861657,0.05941744202747941,0.06653816142585128,0.07176621324382722,0.07596974744461477,0.07977152928709984,0.08510415261611343,0.09226012581959367,0.10010615821927786,0.10667921200394631,0.10839405037462711,0.1094066189788282,0.10984901912510395,0.1103908733651042,0.11207829928025603,0.11507545599713921,0.11917215352877975,0.1234835322573781,0.20479785617440938,0.2728420063853264,0.27927249755710365,0.26692364454269407,13.828517460657695,13.722184295654296,13.93403920173645,0.6651514820301,0.6437588998675347,0.6858771514892578,0.21999880949099843,0.2181333817029372,0.22184855226427316,0.11692850370412566,0.11859764540800825,0.1152351875975728,0.07735370062554658,0.08174632349051535,0.07269613880198449,0.05409844858502983,0.05852802702924237,0.04927224706341803,0.04013925742950844,0.04468800675822422,0.03500431439068052,0.032246496891908435,0.036654649518895896,0.027131343354994897,0.02693132962973397,0.030926366834901273,0.022229549380135723,0.02311603505649778,0.026754976076772435,0.018784925035724882,0.020098223252233406,0.023049473408027554,0.01663126367435325,0.01800197269033896,0.02029268452199176,0.015373646164080127,0.016365208865880373,0.018186568997334687,0.014313938331324607,0.014888620786818817,0.01658647346601356,0.012970387651439524,0.013675876880764319,0.015187443899922073,0.011975005833082832,0.012824834272773871,0.01414622714579309,0.011350639003503603,0.012120158293865119,0.013370467721106252,0.010725067228486295,0.011710141944766491,0.012882292682188563,0.010406795087037608,0.011401121366434872,0.012450959818452248,0.0102442538246396,0.011003860411389375,0.011906650864111724,0.010020057540095877,0.01053373468174821,0.011354286783607677,0.00964361469193591,0.008998013429879858,0.009087888215435668,0.008907231845660135,0.007598446072568006,0.007289566194958752,0.007895251112204278,0.005991266435303012,0.005999440609157318,0.005983081093781948,0.0035674984224745025,0.00361492514872225,0.003519432647153735,8.091967745197397e-16,8.207238224329212e-16,7.976697266065581e-16,0.9999091029167175
MoE (2 Experts),107710,2,100,100,0,0.0009751028674213558,0.0005548207958556375,0.001395384924753163,0.034706960618812704,0.036148096423712556,0.03320333350333385,0.03752776266826399,0.034726749288383874,0.04013376166811213,0.0417697795278013,0.036104219660628586,0.04675376226892695,0.0452351096824768,0.038216902501881124,0.05130203367443755,0.048001647263461074,0.04011142757721245,0.05476668382994831,0.04990888379310759,0.04178064777282998,0.056887352149933575,0.05148148858825587,0.04376463213004172,0.05818371171597391,0.05281220417029086,0.0455866676568985,0.05916175750084221,0.05397743969028314,0.04698827059939504,0.06016004003584385,0.05505933407866744,0.04825027776882052,0.0611144110141322,0.05611784257190428,0.0495633789151907,0.06198302977718413,0.057345879842714144,0.051183897093869744,0.06290714226663113,0.05887474749737401,0.05318638073280454,0.06405997728928924,0.060834534248332656,0.055616579367779195,0.0656389915663749,0.0632713390908852,0.05852723840624094,0.06768372821621597,0.06599209612148509,0.06186599449254573,0.06987497568130493,0.06916027981219024,0.06603576704859733,0.07214960899204016,0.073063557859389,0.07135351980105042,0.07473447789438069,0.07811282612457461,0.07794045705348253,0.0782848156709224,0.08440571730930649,0.08577128505334258,0.08301769021898509,0.09216699911529662,0.09497983384877444,0.0892655735090375,0.27897868572713685,0.29339083600789306,0.26378027129918336,0.5806160721637789,0.624012399725616,0.5337026995420456,0.8386534609215296,0.92522366091609,0.7420515024662018,1.6755461258279374,1.7876495942473412,1.5553837364912033,0.027346835986245422,0.06339371333830059,0.07378217198885978,0.08034699717536568,0.08420170366764068,0.08594423029571771,0.0871619863808155,0.08859576524235308,0.09003443714231253,0.09137119686231017,0.09305470773018897,0.09519882936030627,0.09752677289769053,0.10011743977665902,0.1026758504100144,0.10493316082283854,0.10707851184532047,0.10955967135727405,0.1126769152469933,0.11668924922123551,0.12206204190850257,0.2588195563852787,0.41997110582888125,0.46224350154399874,0.5161046731472015,14.426020986074716,14.294159116744995,14.556688432693482,0.6640450181432024,0.6290106493234634,0.6973214289546013,0.2014994199726036,0.1848445799574256,0.2168790302425623,0.0993067878835185,0.0937586862500757,0.10456091522239148,0.05988366879638326,0.05669500784017146,0.06291091847233474,0.040337583915743054,0.03891519842843991,0.041711493423208595,0.02953701310542296,0.02995272957487032,0.029115361536387354,0.022442129955993918,0.02448854571321135,0.020189341811346823,0.017585536097853745,0.019385559718721197,0.015578903494460974,0.01443242062225367,0.016124362070695498,0.012513771527737845,0.011971648778452734,0.013361032520606386,0.010398247878010808,0.010401828836870864,0.011538074461677752,0.009125180766423,0.009113139179546943,0.010282374433008954,0.007769902665477275,0.00848625603327104,0.009804073964623967,0.006921937345905463,0.008331729417922996,0.009755510013492312,0.006607984152797144,0.008182961594349707,0.009759480084176176,0.006218863995600259,0.008103649262948634,0.009895484098960879,0.0057808007404673845,0.00810677712578731,0.010136395403242205,0.0053565995709504936,0.008128671135711425,0.010230030943639577,0.005243763510807184,0.008166167411187053,0.010309933020034806,0.005203639255123562,0.008162884736280867,0.010258468629908748,0.00529426064760628,0.009513955017496885,0.010960540553787724,0.0078036677862837675,0.01031873348083449,0.011219857346732169,0.009330987215507775,0.009314413076561378,0.01007895395392552,0.008481230401084758,0.004152978936881115,0.0042959693324519325,0.0040048864646814765,8.091967745197397e-16,8.207238224329212e-16,7.976697266065581e-16,1.0052604675292969
MoE (3 Experts),107943,2,100,100,0,0.00039326114101641,0.0005948911141836551,0.00019163119224927222,0.03391061672625967,0.04581370608393627,0.014176183843519539,0.035099318968056445,0.04582971767056734,0.019067285131313838,0.0382688758684933,0.047074287947034464,0.026702530493494123,0.04114017392411146,0.04836211898364127,0.032343983496539296,0.04344662687794298,0.04959676860366016,0.03626815846189856,0.04538152627090349,0.05082348898053169,0.03919105537235737,0.047158017046431695,0.05182068136753514,0.041980639896355566,0.04900539827672872,0.052727794949896635,0.04497596869710833,0.05099748913917423,0.053755918047390876,0.048081067707389596,0.0534590954506352,0.05525148659944534,0.05160448625218123,0.056248106859180386,0.05675031902268529,0.055741370106115934,0.059107325352989404,0.05800150005146861,0.06019283854868263,0.062069404301041846,0.05912785408087075,0.06487772169522942,0.0650594453603586,0.06043725568801164,0.06937435395084321,0.06793987895686089,0.06196590470150113,0.07342942843213678,0.0707950338388136,0.06377263691276312,0.07718111435882748,0.0737918234700997,0.06608915938995778,0.080763168791309,0.07712693762297596,0.06936865163035691,0.08417315002530813,0.08108045311708209,0.07391271885484457,0.08766407329589128,0.08588173858337184,0.0795326654613018,0.09179270760156215,0.09162868289724,0.08572553195990622,0.09717388655990362,0.18440813763224836,0.12855958331376313,0.22690340673550963,0.2992915746096386,0.1972268895804882,0.3745029336214066,0.47540412080866007,0.32966825675219297,0.5859496536850929,1.0610557280070554,1.2372372190654277,0.8490715986490249,0.01873813950456679,0.03462651818990707,0.04026090865954757,0.04637677542865276,0.05217829082161188,0.05706062552519143,0.060868673133663835,0.06376453602686524,0.06653788343071937,0.06945785542018712,0.07244828121736646,0.07530303419567645,0.07824109883978964,0.08120701117441058,0.08373745109885931,0.08569125039502978,0.08702535150572657,0.08810888409614563,0.08907948132604361,0.09084101153537631,0.0934568757750094,0.16293955124914647,0.2739155525714159,0.34915493622422217,0.5361930572986603,13.953977881128838,14.390604085922241,13.503240776062011,0.6673220038368449,0.6612042328715324,0.673384196460247,0.2106819181097893,0.19113523619249462,0.22856303883716464,0.10595406139393145,0.08824205143202563,0.1211027109969291,0.06472078453492552,0.05054878343667951,0.0763045240775682,0.04395664263425132,0.033306804710882716,0.05248837607796304,0.032546510860397046,0.0238005113703548,0.0393965277262032,0.02552199900039385,0.017176272204087583,0.031744614332565105,0.020638296125823043,0.0131323134660488,0.02606570307863876,0.017514573064104654,0.010833911572553916,0.02227435519322171,0.015327497969556072,0.008979951997462194,0.019728782277088613,0.014111122324957927,0.007523821654031053,0.01848349680818501,0.013089901427647894,0.006709894497471396,0.017253067976562307,0.01229427910283518,0.006667932129785186,0.016057312304037622,0.011410676371634957,0.006935938593233004,0.01457051221979782,0.010432162308545772,0.006848030062233761,0.013067689356976189,0.009784822328952544,0.006748061525868252,0.012080942085012793,0.009431148239257597,0.006745023006733391,0.01150642337393947,0.009056986924098176,0.0066216596500999,0.010964107248873915,0.00868632440780944,0.006311858823246439,0.010538733397843315,0.008524056564809188,0.006309165966886212,0.010271976705698762,0.008406797369897676,0.0066077305904400415,0.009883642065615277,0.00796958318745047,0.006648194909212179,0.009101099758408964,0.007490951901784852,0.006629129010252655,0.008263375179376453,0.003951188143427937,0.004325956916436553,0.003536929776892066,8.091967745197397e-16,8.207238224329212e-16,7.976697266065581e-16,1.0005083084106445
MoE (4 Experts),108176,2,100,100,0,0.0001530960791359348,9.484201252178898e-05,0.00021135018934738176,0.012514441583014542,0.011181819779012584,0.013718214267864823,0.017510502705150883,0.014497645016526804,0.020076197322923692,0.022877972262558468,0.017712464674841614,0.027075299164280295,0.02698413335541218,0.02062309759785421,0.03210879554506391,0.03027662838631402,0.023225679527968168,0.03597104757092893,0.03309120037959405,0.02550998582970351,0.03923385920468718,0.03559122411382686,0.02757829018868506,0.042105918563902375,0.03796164938328658,0.029761025027837604,0.0446817080816254,0.04013467359388241,0.03207848178455606,0.04682472696527839,0.04213618093117645,0.03454593309666962,0.04855403169058263,0.04424039020081224,0.03732381792506203,0.05021311447955668,0.04664997319734072,0.04043352104257792,0.05213032106868923,0.04942242987234938,0.0437065143790096,0.054542586570605636,0.05274764184547425,0.04726008338853717,0.05771578604355455,0.05661223512808994,0.05122787380125374,0.061527191372588275,0.06093398762869844,0.05563131185248494,0.06581078056246042,0.06553294832493808,0.060249310666695234,0.07042126948945224,0.07071989517092396,0.06496742649003863,0.07603841556236147,0.07669756318895334,0.07001177598722279,0.08284554074518383,0.08356028671941415,0.07583880838938058,0.09062625544145703,0.09131891545124032,0.0826032214332372,0.09927233475260437,0.22240078186094478,0.17691113667562605,0.2600512742996216,0.47232389905589084,0.39652754602953794,0.5375366373360158,0.7585247632809304,0.6823361624032259,0.8277300251275301,1.4764605261645873,1.630677143931389,1.304133207499981,0.012865130861755461,0.028463608908932656,0.0367245494062081,0.04386213755235076,0.04888479127082974,0.05195596335455775,0.05432320721447468,0.056427473044022916,0.05825886228121817,0.060053511336445806,0.062161682434380056,0.06463477959856391,0.06736236439086497,0.07031308884732425,0.07328711742535234,0.07587982965633273,0.07859105594456196,0.08244785623624921,0.08746240377426147,0.09343713343143463,0.10010785548016429,0.2150568400323391,0.37960031256079674,0.43306038849055767,0.5081242327392101,13.377761855800209,13.195616989135742,13.55745982170105,0.6599034777409409,0.6390842017531395,0.6800857173465192,0.2086482078470486,0.19199124759063124,0.2240703240595758,0.10638789556144784,0.09915398596320302,0.11316030978923663,0.06731193761737668,0.06299820760963484,0.07136539588333107,0.04833045299334219,0.045604821546003226,0.05091036853962578,0.036782313106895934,0.03367877188138664,0.03964363050414249,0.029778262025765934,0.02753563421429135,0.03186343714929535,0.02500005599804854,0.02375823919661343,0.026183041650801896,0.02096287615544071,0.020328578525368356,0.02157853675656952,0.018189044851607054,0.01840459543163888,0.017970909053947253,0.016281122632278093,0.01743060419088579,0.015044066799746361,0.014983633042447493,0.016317216920433565,0.013519132748551783,0.014054911099244852,0.015444687730778242,0.012511701439616446,0.013513631964507375,0.014942376146209427,0.011914776240009814,0.012831977028549943,0.014438759553595446,0.010992792705947068,0.012298602504404264,0.013887701886706055,0.01047105455189012,0.011870303869854068,0.013343579005959328,0.010186124250030843,0.011456001010063502,0.01279874955129344,0.009933374462307257,0.011191667853409616,0.012412189465321717,0.00982061155728303,0.011024811032892035,0.012148542508948595,0.009772708505333867,0.011165110978315714,0.01169231142528588,0.010611751026590354,0.01064105150397069,0.011082726012100466,0.010180232726270333,0.009862242295538379,0.010245805855374783,0.009463144750334322,0.0042733779097305245,0.0047343344904948025,0.0037562740116845817,8.091967745197397e-16,8.207238224329212e-16,7.976697266065581e-16,1.0038987398147583
