model,n_params,n_x,n_valid,n_total,n_diverged,one_step_mse,one_step_mse_dim0,one_step_mse_dim1,nrmse_1step,nrmse_1step_dim0,nrmse_1step_dim1,nrmse_10step,nrmse_10step_dim0,nrmse_10step_dim1,nrmse_20step,nrmse_20step_dim0,nrmse_20step_dim1,nrmse_50step,nrmse_50step_dim0,nrmse_50step_dim1,nrmse_100step,nrmse_100step_dim0,nrmse_100step_dim1,nrmse_500step,nrmse_500step_dim0,nrmse_500step_dim1,nrmse_1000step,nrmse_1000step_dim0,nrmse_1000step_dim1,chamfer_1step,chamfer_10step,chamfer_20step,chamfer_50step,chamfer_100step,chamfer_500step,chamfer_1000step,divergence_1step,divergence_1step_dim0,divergence_1step_dim1,divergence_10step,divergence_10step_dim0,divergence_10step_dim1,divergence_20step,divergence_20step_dim0,divergence_20step_dim1,divergence_50step,divergence_50step_dim0,divergence_50step_dim1,divergence_100step,divergence_100step_dim0,divergence_100step_dim1,divergence_500step,divergence_500step_dim0,divergence_500step_dim1,divergence_1000step,divergence_1000step_dim0,divergence_1000step_dim1,reconstruction_error,recon_error_dim0,recon_error_dim1,spectral_radius
VAR (ARIMA),40,2,10,10,0,0.0003511760469791625,0.00010844958314251815,0.0005939042111796753,0.013156935913025764,0.008176570141222328,0.016713875252753495,0.07873010255567556,0.05040907207876444,0.0992762990295887,0.14402650427570454,0.09609231539070606,0.17959269136190414,0.2857462568375432,0.21862785574048757,0.3398583635687828,0.4345997460936805,0.3873988501727581,0.4771540731191635,0.8676706417131587,0.8813244819641113,0.8537984788417816,0.9368240483562186,0.9321390628814697,0.9414857208728791,0.020092457230202854,0.1751721730455756,0.3348592214286327,0.7295291319489479,1.2173580169677733,2.355653989315033,2.4599399864673615,13.925336695620961,13.504321098327637,14.333991622924804,0.8746563035519032,0.8601987481117248,0.8888787388801574,0.31630728637569777,0.31482382118701935,0.3177838265895844,0.07908920849687529,0.07956171669065952,0.0786138603463769,0.02800667498931604,0.028467939933761954,0.02753768479451537,0.0025255266798028973,0.0026797474536579104,0.002361254667630419,0.0007437386507986867,0.0007371446830802597,0.0007502746680984274,0.0,0.0,0.0,
eDMD,625,2,8,10,2,6.879693399852726e-07,6.255504918858282e-09,1.3696911884492733e-06,0.0005784226800751071,6.344450994220097e-05,0.0008155491326760966,0.0040906172204982815,0.0004981172853149474,0.0057635212899185715,0.00737642983566764,0.0011294232519705677,0.010370527342375781,0.018960506780642084,0.004839964851271361,0.02637378196232021,0.034035977513641895,0.01519819936947897,0.04567176662385464,0.303123635927186,0.23735850863158703,0.35697172954678535,0.7906088808748564,0.8304878398776054,0.7486085444688797,0.0010146042113774456,0.010426779359113425,inf,inf,inf,inf,inf,10.054757746421272,8.749754524230957,11.208840370178223,0.7231871653076954,0.6556880414485932,0.7849028885364533,0.27145466679891345,0.24914137025674185,0.2920682281255722,0.09060151691401615,0.09843380190432072,0.0820247302763164,0.03931575428248675,0.047379272524267435,0.029097450140397996,0.009390842150375545,0.010828791128005832,0.007688505400437862,0.004512228091596184,0.00548332545440644,0.003263977123424411,5.726241632649124e-16,1.584827535945107e-16,9.86765572935314e-16,
KAE Baseline,37488,2,10,10,0,1.4135870230802539e-05,1.8716132231289288e-05,9.5556191799886e-06,0.0032002731223675592,0.003679489658679813,0.0026353087043389676,0.011197702028877673,0.01199175757355988,0.010342862841207534,0.021030611415254283,0.021629077102988958,0.020414608903229235,0.04638841675077198,0.04010979263111949,0.051913148164749144,0.08679425184128203,0.062423823215067384,0.10568704083561897,0.7442908017229221,0.7210387200117111,0.7668381571769715,1.0534570720945378,1.016233068704605,1.0894099116325378,0.004716318193823099,0.023220705706626175,0.045129182003438476,0.12073640674352645,0.19115955829620362,1.1968873143196106,1.008314561843872,12.45791712734573,12.783583450317384,12.123505783081054,0.765843593444009,0.7733294010162354,0.7582838892936706,0.2939770829689122,0.28328373581171035,0.30429488271474836,0.07746437042453828,0.0630279790610075,0.0896043036133051,0.030435924726882176,0.024852123064920306,0.0351434632204473,0.007372005881384252,0.007760463887825609,0.006961906468495727,0.002632350608930919,0.002741614973638207,0.0025183500139974056,5.726241632649124e-16,1.584827535945107e-16,9.86765572935314e-16,
Advanced KAE (1 Expert),104660,2,10,10,0,0.0006823061121394858,0.000670279826277981,0.0006943331021871709,0.021689700036483205,0.021914800489321352,0.021462238812819123,0.024459948743261097,0.0222187633626163,0.02651235070079565,0.03890693990761798,0.039094185922294855,0.03871878837235272,0.0982514133395873,0.10619642212986946,0.08960468946024776,0.11192861976058191,0.09462120290845633,0.12689704410731792,0.36963620100630545,0.3054437905550003,0.4242239184677601,0.9096982379609987,0.9234257355332375,0.895760391652584,0.024346713349223136,0.05012565609067678,0.07765343431383372,0.17012242712080478,0.23485369570553302,0.34291129782795904,0.3683122768998146,14.494784853308683,14.540073776245118,14.449353981018067,0.6887527235555647,0.6570837318897247,0.7190282315015792,0.23777449543700577,0.2439138874411583,0.2314723242074251,0.06318116725890599,0.0628949427860789,0.06346610090695322,0.013271413292460846,0.008201556513085961,0.016881803586147725,0.005444598402107799,0.005841739941388369,0.005016111838631332,0.00370228210221587,0.003971799882128835,0.0034115379559807478,5.726241632649124e-16,1.584827535945107e-16,9.86765572935314e-16,0.9999091029167175
MoE (2 Experts),107710,2,10,10,0,0.000563392203184776,0.00016760400964026365,0.0009591793507656212,0.018369015594690705,0.010452398005872965,0.023782111844047903,0.02351454136430301,0.016432822961360217,0.028910718439146877,0.029341580165916075,0.022402660362422465,0.034928175760433076,0.03773930042759782,0.026858411729335785,0.04612087719142437,0.04389970052350549,0.02769624227657914,0.05556334741413593,0.6869353647233674,0.7003557801246643,0.6732474818825722,1.2264641407963077,1.1842926561832428,1.2672330021858216,0.021795629244297742,0.05766286738216877,0.07981961145997048,0.10500648766756057,0.11381132043898105,0.4524682775139809,0.44761194139719007,14.143833378193703,13.855089282989502,14.42679958343506,0.7178835016720061,0.7241614162921906,0.7115501999855042,0.22644002632128074,0.23269858211278915,0.22000350207090377,0.04459439321600207,0.03604735024273396,0.05174851063638926,0.0138053982898443,0.006290637340862304,0.018482584389857948,0.009781815148819414,0.010430237930268049,0.009087241161614657,0.004189003770246758,0.004440121445804834,0.003921839711256325,5.726241632649124e-16,1.584827535945107e-16,9.86765572935314e-16,1.0052604675292969
MoE (3 Experts),107943,2,10,10,0,0.000348010660673026,0.00047424091200875564,0.00022177987960372018,0.014875185872888877,0.01802298685652204,0.01084962000604719,0.019521156433522646,0.020024833222851156,0.019004135113209485,0.027166935820494637,0.02547422731295228,0.028760190308094024,0.03989651314250873,0.03317261757329106,0.04564034361392259,0.04305474139343408,0.03448289204388857,0.05018318113870919,0.29940901375841483,0.1974116012454033,0.37459334582090376,0.7272723547249144,0.7568803131580353,0.6964067399501801,0.018332509603351355,0.03552657421678305,0.05367923313751817,0.08016571290791034,0.09121497180312872,0.3591650664806366,0.5605936110019684,14.019064898255783,14.199227142333985,13.836557006835937,0.7076698000964077,0.6698098182678223,0.7436046659946441,0.22496537530725708,0.2183868907392025,0.23135688044130803,0.045284028989557336,0.041658707428723574,0.04863988752476871,0.009892369250839745,0.007118617871310562,0.012043388991151005,0.007546579665515169,0.0066546108573675156,0.008343733195215464,0.004078442403667837,0.004335151403211057,0.0038044509710744023,5.726241632649124e-16,1.584827535945107e-16,9.86765572935314e-16,1.0005083084106445
MoE (4 Experts),108176,2,10,10,0,0.00016450782713945956,0.00011085798831635267,0.0002181575223984636,0.010210126077476508,0.008269250416196883,0.01183692724443972,0.013625492294976543,0.010424787178635597,0.016205921536311507,0.017260333975531242,0.013366346387192607,0.020424961252138017,0.023598106226945702,0.01726108370348811,0.028562146704643965,0.031011772590856967,0.01667041378095746,0.04056547032669187,0.6990054013273936,0.4971690014004707,0.8544238328933715,1.3231917644930133,1.201512223482132,1.4345874905586242,0.016025101020932197,0.034640803933143616,0.04397338666021824,0.07029016269370914,0.08732096571475267,0.4997451052069664,0.45894797444343566,13.851762955345466,13.614430618286132,14.085096836090088,0.6670542839124829,0.6387010544538498,0.6942505300045013,0.20366032002282272,0.21843551546335221,0.1877258040010929,0.0480633364473811,0.04545636363327503,0.050536003266461196,0.014316607252755777,0.004797147307544947,0.019670227862661704,0.010483965797491456,0.010188801027834416,0.010771045042201877,0.004544553676625817,0.004684415017254651,0.004400249104946852,5.726241632649124e-16,1.584827535945107e-16,9.86765572935314e-16,1.0038987398147583
