model,n_params,n_x,n_valid,n_total,n_diverged,one_step_mse,one_step_mse_dim0,one_step_mse_dim1,one_step_mse_dim2,nrmse_1step,nrmse_1step_dim0,nrmse_1step_dim1,nrmse_1step_dim2,nrmse_10step,nrmse_10step_dim0,nrmse_10step_dim1,nrmse_10step_dim2,nrmse_20step,nrmse_20step_dim0,nrmse_20step_dim1,nrmse_20step_dim2,nrmse_30step,nrmse_30step_dim0,nrmse_30step_dim1,nrmse_30step_dim2,nrmse_40step,nrmse_40step_dim0,nrmse_40step_dim1,nrmse_40step_dim2,nrmse_50step,nrmse_50step_dim0,nrmse_50step_dim1,nrmse_50step_dim2,nrmse_60step,nrmse_60step_dim0,nrmse_60step_dim1,nrmse_60step_dim2,nrmse_70step,nrmse_70step_dim0,nrmse_70step_dim1,nrmse_70step_dim2,nrmse_80step,nrmse_80step_dim0,nrmse_80step_dim1,nrmse_80step_dim2,nrmse_90step,nrmse_90step_dim0,nrmse_90step_dim1,nrmse_90step_dim2,nrmse_100step,nrmse_100step_dim0,nrmse_100step_dim1,nrmse_100step_dim2,nrmse_110step,nrmse_110step_dim0,nrmse_110step_dim1,nrmse_110step_dim2,nrmse_120step,nrmse_120step_dim0,nrmse_120step_dim1,nrmse_120step_dim2,nrmse_130step,nrmse_130step_dim0,nrmse_130step_dim1,nrmse_130step_dim2,nrmse_140step,nrmse_140step_dim0,nrmse_140step_dim1,nrmse_140step_dim2,nrmse_150step,nrmse_150step_dim0,nrmse_150step_dim1,nrmse_150step_dim2,nrmse_160step,nrmse_160step_dim0,nrmse_160step_dim1,nrmse_160step_dim2,nrmse_170step,nrmse_170step_dim0,nrmse_170step_dim1,nrmse_170step_dim2,nrmse_180step,nrmse_180step_dim0,nrmse_180step_dim1,nrmse_180step_dim2,nrmse_190step,nrmse_190step_dim0,nrmse_190step_dim1,nrmse_190step_dim2,nrmse_200step,nrmse_200step_dim0,nrmse_200step_dim1,nrmse_200step_dim2,nrmse_300step,nrmse_300step_dim0,nrmse_300step_dim1,nrmse_300step_dim2,nrmse_400step,nrmse_400step_dim0,nrmse_400step_dim1,nrmse_400step_dim2,nrmse_500step,nrmse_500step_dim0,nrmse_500step_dim1,nrmse_500step_dim2,nrmse_1000step,nrmse_1000step_dim0,nrmse_1000step_dim1,nrmse_1000step_dim2,chamfer_1step,chamfer_10step,chamfer_20step,chamfer_30step,chamfer_40step,chamfer_50step,chamfer_60step,chamfer_70step,chamfer_80step,chamfer_90step,chamfer_100step,chamfer_110step,chamfer_120step,chamfer_130step,chamfer_140step,chamfer_150step,chamfer_160step,chamfer_170step,chamfer_180step,chamfer_190step,chamfer_200step,chamfer_300step,chamfer_400step,chamfer_500step,chamfer_1000step,divergence_1step,divergence_1step_dim0,divergence_1step_dim1,divergence_1step_dim2,divergence_10step,divergence_10step_dim0,divergence_10step_dim1,divergence_10step_dim2,divergence_20step,divergence_20step_dim0,divergence_20step_dim1,divergence_20step_dim2,divergence_30step,divergence_30step_dim0,divergence_30step_dim1,divergence_30step_dim2,divergence_40step,divergence_40step_dim0,divergence_40step_dim1,divergence_40step_dim2,divergence_50step,divergence_50step_dim0,divergence_50step_dim1,divergence_50step_dim2,divergence_60step,divergence_60step_dim0,divergence_60step_dim1,divergence_60step_dim2,divergence_70step,divergence_70step_dim0,divergence_70step_dim1,divergence_70step_dim2,divergence_80step,divergence_80step_dim0,divergence_80step_dim1,divergence_80step_dim2,divergence_90step,divergence_90step_dim0,divergence_90step_dim1,divergence_90step_dim2,divergence_100step,divergence_100step_dim0,divergence_100step_dim1,divergence_100step_dim2,divergence_110step,divergence_110step_dim0,divergence_110step_dim1,divergence_110step_dim2,divergence_120step,divergence_120step_dim0,divergence_120step_dim1,divergence_120step_dim2,divergence_130step,divergence_130step_dim0,divergence_130step_dim1,divergence_130step_dim2,divergence_140step,divergence_140step_dim0,divergence_140step_dim1,divergence_140step_dim2,divergence_150step,divergence_150step_dim0,divergence_150step_dim1,divergence_150step_dim2,divergence_160step,divergence_160step_dim0,divergence_160step_dim1,divergence_160step_dim2,divergence_170step,divergence_170step_dim0,divergence_170step_dim1,divergence_170step_dim2,divergence_180step,divergence_180step_dim0,divergence_180step_dim1,divergence_180step_dim2,divergence_190step,divergence_190step_dim0,divergence_190step_dim1,divergence_190step_dim2,divergence_200step,divergence_200step_dim0,divergence_200step_dim1,divergence_200step_dim2,divergence_300step,divergence_300step_dim0,divergence_300step_dim1,divergence_300step_dim2,divergence_400step,divergence_400step_dim0,divergence_400step_dim1,divergence_400step_dim2,divergence_500step,divergence_500step_dim0,divergence_500step_dim1,divergence_500step_dim2,divergence_1000step,divergence_1000step_dim0,divergence_1000step_dim1,divergence_1000step_dim2,reconstruction_error,recon_error_dim0,recon_error_dim1,recon_error_dim2,spectral_radius
VAR (ARIMA),90,3,100,100,0,2.0470978083880618,0.020699029741536368,2.120607892449709,1.9528885699489296,0.13092884238951322,0.01957960906998778,0.15858777393994386,0.1609150153771043,0.6243701210887485,0.3003047052770853,0.7508811816200613,0.7179893309809268,0.9656020198416924,0.6947786536999047,1.089790208786726,1.0615091640502214,1.0985823510694235,0.9350828428938985,1.2089700246602297,1.1334289138019085,1.1379498753232562,1.0577230353280902,1.2520837932080031,1.0946679458022117,1.1528866851318413,1.1215129901468754,1.2535266552865505,1.0762539958953858,1.1675465314812792,1.1668601025640966,1.2734652982652188,1.0517691498994828,1.1945065691765302,1.225276274085045,1.3100587633252143,1.0310101455450058,1.2225184250573773,1.2862779036909342,1.3392772109806537,1.0175851833820344,1.2389640006003668,1.3301408307999372,1.347441239953041,1.0100608196854592,1.2433894832241523,1.3537135443091393,1.3468952316045761,0.9956832307577134,1.2433482269892007,1.3681333220005036,1.344808093905449,0.9784921279549599,1.2380205577590238,1.3713572043180466,1.331296598315239,0.9721694758534432,1.2337377537718295,1.3691310501098632,1.325269666314125,0.9671954375505447,1.237035738319629,1.3749752444028855,1.3332805931568146,0.9605093392729759,1.2472071032848024,1.3923011177778244,1.3470108532905578,0.955843101143837,1.2553706721691948,1.4090431225299835,1.352487691640854,0.9556364876031875,1.2571971481808342,1.418524032831192,1.3508285331726073,0.951149751842022,1.2530537691854335,1.419320551753044,1.341817219853401,0.9463017305731773,1.2468102582572764,1.4141965532302856,1.3321116888523101,0.9429390317201615,1.2436204551626118,1.410360352396965,1.3283225125074387,0.9413917827606201,1.2593559099572136,1.4385043233633041,1.3421562433242797,0.941941534280777,1.2661094366693932,1.452843507528305,1.3429955750703813,0.9458900278806687,1.264827200275586,1.4538098031282425,1.3374405413866044,0.9471290272474289,1.2846462683975965,1.4600559121370316,1.3437966185808181,1.006675462126732,1.5013304152339697,10.87581416964531,17.361767942905427,18.80335157394409,17.49527850151062,16.412107467651367,15.51296579837799,15.283413410186768,15.33600902557373,15.40160083770752,15.34775236606598,15.21408609867096,15.134341278076171,15.067490491867066,15.033865642547607,15.066777286529542,15.106859569549561,15.030020160675049,14.8683447265625,14.783203039169312,14.718325996398926,14.526503267288208,14.192648706436158,13.95963397026062,13.206756143569946,17.375977128417603,15.82640902519226,17.997809209823608,18.203773908615112,1.040788316104761,1.0696068513393402,1.0373239135742187,1.014702537059784,0.35582439508350294,0.40474248319864276,0.3328541529178619,0.3243834699690342,0.1743907738569367,0.21136233802884818,0.1548255811445415,0.1503044493868947,0.1000107553873206,0.12874225713312626,0.08871347499894909,0.07457750439178198,0.06480706677426587,0.08461791795212775,0.05557377215940505,0.04848949908046052,0.04655372490157048,0.061712160144816154,0.04064066823106259,0.03227527354843915,0.03625244206082889,0.04892249198164791,0.032867342728422955,0.021657475069805514,0.030150782139967008,0.04135105091496371,0.0274167855549058,0.01629783571581356,0.025305930606504518,0.03535905089927837,0.02201016493840143,0.013655055125127546,0.020709157933546395,0.029888584990985692,0.01648773312859703,0.011019746388483328,0.016822491210714576,0.02486123048700392,0.0126483982798527,0.008421749891203945,0.013735348884171368,0.020367141652386636,0.010114642998250928,0.006989489597908687,0.011598434768891983,0.017099360856809652,0.008660245229839348,0.006015237161773257,0.010126879936593657,0.014856900735758245,0.007937049166139331,0.004892529285825731,0.009274048977825737,0.013458913175854832,0.007500999233016046,0.004540552825419581,0.008481296693944188,0.012304284959682263,0.006679801770897029,0.004447696118731983,0.0075126522203362795,0.01109798789024353,0.0055232969014832635,0.003955715646661702,0.006379239119920559,0.00962660274177324,0.004358183961830946,0.0032278208522620844,0.005425471218481857,0.008210766066622455,0.0035580546195660644,0.002868933904974256,0.004718113412038554,0.007132688280689763,0.0030258296020656415,0.0025982485670829193,0.002273313418219193,0.0032070419534647953,0.0015348609287866566,0.0016920240927265696,0.0012901619725726502,0.00174608494487984,0.0007766324376598277,0.001158267313039687,0.0007558121368816537,0.0009654347171635891,0.0003318427215481279,0.0008194950724828232,0.00027067099063023245,9.745514617861772e-05,-4.7424111398868264e-05,0.0004561159980175944,0.0,0.0,0.0,0.0,
eDMD,3844,3,100,100,0,0.00011600764904592608,5.245996714186532e-07,4.7303950826552976e-08,0.00023144053589828632,0.0011394881382403193,9.112826738657986e-05,2.4208670611756135e-05,0.0019713977860192243,0.005714814880274096,0.0007797859781021544,0.002630683947936632,0.009510455464478582,0.008804053762268487,0.003501133447716711,0.0071411040693055835,0.013010794948786496,0.011447292983023733,0.0068328729516360905,0.011451618333812802,0.014672894557006657,0.014045519592685268,0.009971843479434028,0.01449129223357886,0.01680460201576352,0.016635927321178037,0.012598982554627582,0.017334658789914102,0.019262333107180892,0.01975882390580048,0.01545998037327081,0.02029490132117644,0.022810948109254242,0.023767112770847785,0.01879231644794345,0.024546139845624565,0.027183870393782852,0.02953544157660854,0.023197454418987035,0.03103981398977339,0.033398128440603615,0.03778769524205885,0.029168979986570774,0.03918883881531656,0.04355611614882946,0.04853181710027626,0.03673397660255432,0.050555406361818316,0.05622079387307167,0.06132160140532197,0.046160997096449136,0.06403101408854127,0.07106481533497572,0.0733786054305843,0.05574996678158641,0.07254900637082756,0.08821474980562925,0.0849346768843249,0.06423618147149682,0.08696741978637874,0.09976010674610734,0.09790882423667766,0.07468646298162639,0.09627691256813704,0.11794533455744385,0.11059047579049823,0.08261464851908386,0.10984284775331617,0.13341712279245257,0.12513592590903808,0.09418584743514657,0.12559821262955664,0.14943598959594964,0.14070930188759745,0.10477350757457315,0.13624914169311522,0.17278890708461403,0.15642865555624108,0.11542522550560534,0.15736534900963306,0.187943973261863,0.17421194447786106,0.1322631154768169,0.17401234041899444,0.20802783098071814,0.19290881429043116,0.14892425494268535,0.1943637875840068,0.22734492793679237,0.4468582966567172,0.4140640543587506,0.48040267918258905,0.44363412469625474,0.6123114476692832,0.5974777727760374,0.638507627863437,0.6000868662446738,0.7324516393039153,0.7252397847734392,0.755981664545834,0.7155244155228138,1.062425065506848,1.078877150937915,1.0830604187399149,1.0243267457187175,0.012828451428504195,0.11007260366342962,0.18029601614922286,0.23722429133951664,0.29399620324373243,0.3516899511963129,0.4147766305506229,0.48330114617943765,0.5600130499899387,0.6371973306685687,0.7079343873262406,0.7712776824831963,0.8210261813551187,0.872008859962225,0.9314064526557922,1.0001752439141274,1.0758270619809627,1.135532767996192,1.1837974399328233,1.244950013756752,1.3272468701004982,2.0279866448044777,2.4490975016355514,2.682207106947899,3.3149909192323683,11.219777945172805,10.243522186279296,9.18765377998352,13.722518815994263,0.8644351192558334,0.7822770701348781,0.9754245924949646,0.8236101481318474,0.35382532034798453,0.38015799820423124,0.3976668891310692,0.27003335654735566,0.2071314605942659,0.23816849805414678,0.233074082583189,0.13290058113634587,0.13940528332734278,0.16923567719757557,0.15236585443839432,0.08028344177640974,0.10185985080153064,0.1251666520535946,0.11066968601197004,0.05667289852863178,0.08018733801619748,0.09894767539575695,0.08558006191626191,0.046641591638326645,0.06612485729500009,0.0814782720990479,0.06943890988826752,0.04070650103036314,0.05630202152160544,0.06797803914174437,0.059039964419498575,0.03745693097473122,0.049177414109893375,0.05840681569650769,0.05121151176281273,0.03494680412812159,0.04384978369447086,0.05111392369028181,0.04604401403106749,0.03218269980978221,0.040012630568166264,0.04667225692421198,0.042077520766761155,0.029226948090363292,0.03694974970496823,0.04300657861866057,0.038542890131939206,0.02758136736229062,0.03445296634631872,0.03983385308645666,0.035510745667852464,0.026707148117711767,0.03202477978041711,0.03657482379581779,0.03255179945379496,0.02606572800781578,0.03003034517179848,0.033848617039620874,0.03049416546244174,0.025096650985069573,0.028275864281169714,0.03161486065946519,0.028535754659678787,0.02418232399970293,0.026654530821297807,0.02942927919328213,0.02681954813422635,0.023367100888863207,0.025229803354770132,0.02764525345992297,0.025626894375309347,0.022105003455653787,0.02405303768252653,0.026397170159034433,0.024474578583613037,0.020972130936570466,0.022990295960362894,0.025192524725571274,0.023288500509224833,0.020214934257091956,0.01629600111014382,0.017496739197522402,0.016485285353846846,0.014791160901077093,0.012015182272921926,0.0129759601643309,0.011935205250047147,0.011057538089808076,0.009337317286047092,0.010090519080404193,0.009229892876464873,0.008634059559553861,0.0036657905007428525,0.003999284824822098,0.0035841104155406355,0.003387319501489401,2.4370606991377656e-13,7.78816945589324e-14,1.001612621447602e-13,5.53075253037637e-13,
KAE Baseline,39155,3,100,100,0,0.1308002444007434,0.02872650698729032,0.050919470963338986,0.1819545261487725,0.03614654889082243,0.021494975562964102,0.031020500702579737,0.049954114463762384,0.3587166362763551,0.2390961323212832,0.3768888033926487,0.4322276539169252,0.985271954454144,0.7813022335618734,1.114844263345003,1.0290634387731552,1.2888596496367075,1.1296929390728474,1.5112767125666142,1.1930273051559925,1.3676471544475963,1.224281236678362,1.6371401123702527,1.1967806495726108,1.401991241816036,1.258935735821724,1.632714665532112,1.2829894623160363,1.4161690425344693,1.2982713842391969,1.6393683096766472,1.282016859948635,1.456988701072359,1.3506243032217027,1.64325243383646,1.3579335975646973,1.5093964314484936,1.411959890127182,1.6840922766923905,1.4159926673769951,1.5267293416935328,1.4528844678401946,1.7111945417523384,1.3977293771505357,1.5275256163818107,1.4679415145516395,1.7118777120113373,1.3837000885605812,1.5254452971218326,1.4819374173879623,1.7155291631817817,1.3571187290549278,1.523183434169233,1.4925591281056405,1.7058649262785912,1.3500205275416375,1.5226454655383417,1.4945332032442094,1.7095589759945868,1.341315120756626,1.5209589647459731,1.4980791276693344,1.7185479313135148,1.3199622920155525,1.5247772897687597,1.5106261742115021,1.7265024438500405,1.3084476387500763,1.530612179889739,1.528557412326336,1.7374161136150361,1.2935294434428215,1.5316510298956592,1.5406024718284608,1.7393959444761276,1.2801993611454963,1.527424402113195,1.5418894678354262,1.7358494448661803,1.2682584461569786,1.5188350720044486,1.5353984454274177,1.7285123190283775,1.2551401135325433,1.5128388273453637,1.5290059801936149,1.723475791811943,1.2481249377131463,1.5234001373218504,1.5677121111750603,1.7585206258296966,1.1883298701047897,1.5337257215098077,1.593394522666931,1.7863600927591323,1.1519354498386383,1.5292877689237665,1.5970761007070542,1.7895800065994263,1.1237947183847428,1.53367159003766,1.5985729885101319,1.8063256311416627,1.1127433454990387,0.4352775114029646,5.276503803730011,13.358251740932465,17.868982591629027,18.59930408000946,18.51377145767212,17.79733762741089,17.596804809570312,17.83782855987549,17.793433914184572,17.785368423461914,17.711224002838136,17.75692452430725,17.78518660545349,17.78934438705444,17.80235577583313,17.781776275634765,17.790450944900513,17.735600929260254,17.667513389587402,17.644420394897463,17.63218478679657,17.461258816719056,17.263843274116518,16.258638048171996,16.402030325523597,15.983896656036377,16.272907609939576,16.934796190261842,1.0820260832291033,1.0564118838310241,1.103430290222168,1.0857149076461792,0.4236157864819873,0.432570111900568,0.429489638954401,0.4083781972527504,0.22148215069121066,0.23636425234377384,0.23076893992722033,0.1950401645898819,0.1303057712990559,0.14029784787446262,0.1390251914039254,0.10921214281581343,0.08537810161660372,0.09070403904654085,0.08725368099287152,0.07763912132941186,0.05958712927548349,0.06441998537164181,0.05947484366828576,0.054448933701496574,0.045280804454345173,0.050205343338893725,0.04337482162751258,0.04182226805307437,0.03700609197222264,0.041319046861026436,0.03451868173899129,0.03477857827267144,0.029804853123709327,0.03435123660601676,0.02756955163087696,0.026923970280913635,0.024035892219649944,0.0285295967257116,0.022157199715147725,0.020695239931810647,0.019826670331724305,0.02395431981422007,0.01873087260115426,0.015957303756149486,0.016537822956576003,0.019919855968328192,0.01570051431102911,0.013311346776317805,0.014074248796887913,0.01661190306273056,0.013719905210891739,0.011404486627143343,0.012133279779654955,0.014600443125063976,0.0122845303529175,0.008807202120660804,0.010729456870921573,0.013233560015360126,0.010847345316433348,0.0072506360507759385,0.009564357724073814,0.011953523945703638,0.009640249203657731,0.006213668529380811,0.008446656476796032,0.010627044739667326,0.008744065202045022,0.004964399334712652,0.007438379287226848,0.009366838949536032,0.007894798978231848,0.003990355428868497,0.006543811093348542,0.008195075438707136,0.007100320229073987,0.0033000881919724636,0.005787819523347799,0.00720220482617151,0.006393230914036394,0.0027841351666575065,0.002726743652837734,0.0034133253594336565,0.003117080440715654,0.0009687168634991395,0.0016896755504461766,0.002116378322498349,0.0019409971937420778,0.0005643430581403664,0.0010322081858137456,0.001258126975990308,0.001224990403825359,0.0003359705930643031,0.0002816880600196624,0.00023842065582357463,0.00033328579110957434,0.0002648030622822262,2.4370606991377656e-13,7.78816945589324e-14,1.001612621447602e-13,5.53075253037637e-13,
Advanced KAE (1 Expert),106452,3,100,100,0,0.053933533129747954,0.02386698505636149,0.035343179217836626,0.04865691349903432,0.023237913077759322,0.021335471706406678,0.02282239686464891,0.02537592680171656,0.15406391514932383,0.12220837756991386,0.2036070715636015,0.12172240021638572,0.3691609744937874,0.3086436675675213,0.4462955172546208,0.33822902450338005,0.5233250210025346,0.46570386312901974,0.5871808415278792,0.5098488050699234,0.5811419728530188,0.5488221496343613,0.6387070979177952,0.5513850460201501,0.5947969412392183,0.5738932151347399,0.6381405553221703,0.5698889481276274,0.6032696505100482,0.5780547954142093,0.649338514059782,0.5796679750829935,0.6193020912774914,0.595360575914383,0.6644365264475346,0.5955460752546787,0.6387717900000563,0.6160821326076984,0.6708679044246674,0.6280662861466407,0.6527741418962334,0.6280296927690506,0.6761824217438698,0.6532214620709419,0.6642384811436907,0.6369111953675747,0.6919688567519188,0.6626926210522651,0.68000929926346,0.6544976222515106,0.7125579568743706,0.6716635778546334,0.693958884075372,0.6704678942263126,0.7211937871575356,0.689267090857029,0.7069508633382255,0.6812685154378414,0.7311169770359993,0.7075872704386711,0.723793335315881,0.6930419467389584,0.7493427076935768,0.7278796213865281,0.7459135919982409,0.71141173645854,0.7704435274004936,0.7546332702040672,0.7663294136312262,0.7308379021286965,0.7878697517514229,0.7790503999590874,0.7822710798065176,0.7524344506859779,0.8032638067007065,0.7902238804101944,0.7937453152551528,0.7719142737984658,0.8097331893444061,0.7991091242432594,0.8017729379038768,0.784631227850914,0.8136105540394784,0.8067907005548477,0.8108851717905038,0.7953996926546096,0.8239961019158364,0.813003098666668,0.9728606199240023,1.012720377743244,1.0048289635777474,0.8967104035615922,1.084974718866329,1.1764286383986473,1.1273595318198204,0.936262018084526,1.1450430779915257,1.2657827177643777,1.18899394094944,0.9578405249118805,1.2552541838130051,1.3993549835681915,1.3012605553865433,1.0370707762241365,0.2929898641817272,2.501975588798523,5.706042425632477,8.071167235374451,8.88659491300583,8.721886150836944,8.439218077659607,8.382908811569214,8.359756999015808,8.37560417175293,8.356323673725129,8.365541667938233,8.341509599685669,8.336081662178039,8.348242247104645,8.375242037773132,8.444671332836151,8.502645153999328,8.529115233421326,8.518243861198425,8.53081783771515,9.484825730323792,10.067523605823517,10.28708490371704,9.929958918094634,16.033389602472624,15.918616790771484,16.012998542785645,16.167568264007567,0.9840583817035825,0.9822658187150956,1.017800812125206,0.9509721678495408,0.3567982975267911,0.36570034965872766,0.3539028583839536,0.35061531119048595,0.19436278792204473,0.19941934976726772,0.18521167373284697,0.19813944291323424,0.11847178618162676,0.12631201065145434,0.11018346455879509,0.11837048815563321,0.07647353762190337,0.08117698487360031,0.07123871900024824,0.07668081840500235,0.05316383676349805,0.05382492038654164,0.05143185363383964,0.05419246253324673,0.04026381414304133,0.03966495745698921,0.03995587231591344,0.04115511639451142,0.03311919566607173,0.032749927898985336,0.03164856534771388,0.034877699160715564,0.027579719505534082,0.027317574649350716,0.025354294375283644,0.02988030548740127,0.023209679820417745,0.022443031714065,0.021851986674009824,0.025196601318020838,0.02057256281650567,0.01998456791821809,0.019495238359086217,0.02214144866447896,0.018362930873079802,0.017991482004908903,0.01686583816581333,0.02008585992633016,0.01643000990766441,0.016129996470044716,0.015191541056556162,0.017857098613749258,0.014931194502581551,0.014457045918679795,0.014179826534818857,0.01608564734691754,0.014083140106123306,0.013577364390948787,0.013541132133104839,0.015076386254513637,0.013354886935228382,0.01315290744692902,0.012557845089468174,0.014295473673846572,0.012381277465001584,0.012456509718067537,0.011639728464106157,0.013009234486380592,0.011355568542997909,0.011585202120477334,0.01044517821224872,0.011980323649477214,0.010423186733215038,0.010649580609751866,0.00938441951846471,0.011155607028049417,0.009661396035276291,0.009921938741899793,0.008799715808559086,0.01020528555905912,0.0062779422642635484,0.006967655734042637,0.006044666173984296,0.00575773059783387,0.004496113709745088,0.00521569548669504,0.00450222134571959,0.0036292752743611345,0.003169218964436143,0.0037629487977119424,0.0031503818846704236,0.002459096756974759,0.0009323885609389171,0.001072950191628479,0.000905363781930646,0.0007982102444606199,2.4370606991377656e-13,7.78816945589324e-14,1.001612621447602e-13,5.53075253037637e-13,0.9999593496322632
MoE (2 Experts),110072,3,100,100,0,0.06219749314070214,0.018826029198944227,0.02612149009751521,0.07944743910948239,0.024114093194855326,0.017581537443620617,0.01863312269175367,0.032987342295236886,0.10850103772175064,0.06689171910751611,0.12643986978568136,0.12188471111468971,0.23505213232731131,0.13863616716116667,0.24929247986525296,0.2904854340106249,0.3303457521342483,0.18760584615170955,0.33577818401157855,0.4236059554480016,0.39251515550646876,0.23991509225219487,0.4175498037785292,0.4798930628597736,0.42737331449808424,0.2904483734816313,0.43992754615843294,0.519660799279809,0.4549391622962525,0.3282508432120085,0.4735459540784359,0.5375077092275024,0.487952962490425,0.3767075165361166,0.5136368198692799,0.5554844237864017,0.5239461864034002,0.42063812479376794,0.541327818185091,0.5946314656734466,0.5500799219625877,0.4452861756086349,0.5564530383050442,0.6323321908712387,0.5685151201944378,0.4634638911485672,0.579969732016325,0.6468884426355362,0.5876567850003466,0.48879480093717576,0.602283633351326,0.6590565669536591,0.6013891124377969,0.5074500577151775,0.6093524165451527,0.6754188811779023,0.6132353346207454,0.5190958593785763,0.619874769449234,0.6888160029053688,0.6316137828242805,0.5356893470883369,0.6433389970660209,0.7042441126704216,0.6577511860955999,0.5634825803339482,0.6715117144584656,0.7276463890075684,0.6820255318128712,0.5911952832341194,0.6923021015524864,0.7527831131219864,0.6988015100194521,0.614888719022274,0.709156377017498,0.7641856759786606,0.7115769746625863,0.6338956551253796,0.719208900630474,0.7745580857992173,0.7250363345984725,0.6509147202968597,0.7304969951510429,0.7872212055325508,0.7413467581347395,0.6731398192048073,0.7494579514861107,0.7962289935350418,0.9083980318205309,0.9244160261750222,0.9398755455017089,0.8588654854893685,1.0059282714467355,1.0793557727336884,1.0492830109596252,0.8773091477155686,1.0642026865135727,1.1676105040311813,1.1109182626008987,0.8944989651441574,1.2003385140508942,1.3372638362646103,1.2474807250499724,0.988916031718254,0.31558667290955783,1.8612874680757523,3.5347040140628816,5.030090351104736,5.98606436252594,6.2346596956253055,6.343710404634476,6.552695362567902,6.693600518703461,6.8126847314834595,6.849890232086182,6.904908926486969,6.910117585659027,6.856111438274383,6.838404912948608,6.8718400573730465,6.925962092876435,6.958178284168244,6.966327049732208,6.95362964630127,6.957939932346344,7.620277724266052,8.03169741153717,8.219888591766358,8.59440188884735,16.060345556044787,15.68199761390686,15.877548837661744,16.60670021057129,0.928501970974993,0.8963006594777108,0.9806351912021637,0.9062822297215462,0.3324643060589687,0.3290288683027029,0.3422035402804613,0.32593601404689254,0.18046005137366658,0.17956733614206313,0.1796905403584242,0.18211087809875606,0.11577109244236862,0.11557299379259348,0.11580470280023292,0.11593528992962092,0.07910331474833947,0.08173705558292568,0.07561572473496199,0.07983307040296495,0.057383637486673834,0.06144794589286903,0.05410444891895168,0.05635161139070988,0.04577522381026019,0.05015993956883904,0.04287725204892922,0.04395037046284415,0.03815115695665214,0.0414989522122778,0.034715609435515944,0.03793673362582922,0.031875377106823644,0.03365624389029108,0.02897470424300991,0.03280004204774741,0.02728406385716576,0.02866898970445618,0.025735676994081587,0.02736830978828948,0.02394344830785426,0.025520640705581174,0.022653532513650133,0.023566512538818644,0.021124207193220404,0.02249690559634473,0.019141073305509054,0.021591779452573973,0.018669498342894254,0.019728105327812953,0.016840580044299714,0.019309252421371638,0.01711483700290295,0.017773607849376274,0.01572688880842179,0.01776279170997441,0.016254390661056318,0.01707732601556927,0.014942621940281241,0.016664292154018767,0.015403139476386172,0.016395021732896566,0.013864478038740344,0.01583507588482462,0.014170866868980347,0.015257850715206587,0.012802052570477826,0.014343843452516013,0.012983941544300033,0.014118314958177508,0.011594518655037973,0.013114439903292805,0.011991375083157087,0.01307637002086267,0.010548098095459863,0.012211691234260797,0.01115428163501317,0.012197463376214728,0.00989630759053398,0.011248954602051527,0.007174054455881493,0.008656527683488093,0.00659442147356458,0.005998275243922535,0.004780458154629962,0.006073358952999115,0.004383636363199912,0.0035293602490764895,0.0033683016749547438,0.004334183881292119,0.0030284470925835195,0.0024657102041965116,0.0010248718937744526,0.0012536224269422292,0.0008483140666794498,0.0009272978221088124,2.4370606991377656e-13,7.78816945589324e-14,1.001612621447602e-13,5.53075253037637e-13,0.9998813271522522
