model,n_params,n_x,n_valid,n_total,n_diverged,one_step_mse,one_step_mse_dim0,one_step_mse_dim1,nrmse_1step,nrmse_1step_dim0,nrmse_1step_dim1,nrmse_10step,nrmse_10step_dim0,nrmse_10step_dim1,nrmse_20step,nrmse_20step_dim0,nrmse_20step_dim1,nrmse_50step,nrmse_50step_dim0,nrmse_50step_dim1,nrmse_100step,nrmse_100step_dim0,nrmse_100step_dim1,nrmse_500step,nrmse_500step_dim0,nrmse_500step_dim1,nrmse_1000step,nrmse_1000step_dim0,nrmse_1000step_dim1,chamfer_1step,chamfer_10step,chamfer_20step,chamfer_50step,chamfer_100step,chamfer_500step,chamfer_1000step,divergence_1step,divergence_1step_dim0,divergence_1step_dim1,divergence_10step,divergence_10step_dim0,divergence_10step_dim1,divergence_20step,divergence_20step_dim0,divergence_20step_dim1,divergence_50step,divergence_50step_dim0,divergence_50step_dim1,divergence_100step,divergence_100step_dim0,divergence_100step_dim1,divergence_500step,divergence_500step_dim0,divergence_500step_dim1,divergence_1000step,divergence_1000step_dim0,divergence_1000step_dim1,reconstruction_error,recon_error_dim0,recon_error_dim1,spectral_radius
VAR (ARIMA),4,2,10,10,0,0.0018995691832969896,0.0003002259121726863,0.0034989097561883504,0.02311884229761708,0.010410591447725891,0.030993246426805853,0.12050103382592335,0.06507919766008854,0.15749824233353138,0.20267635184184588,0.1253566646948457,0.2577617384493351,0.36766515449300663,0.28572733141481876,0.43441365510225294,0.5371096317144031,0.4873252213001251,0.5826556801795959,0.8720805945343298,0.8955427289009095,0.8479695439338684,0.9393525186732683,0.9321174263954163,0.9465323090553284,0.037588496878743174,0.30095494613051416,0.5298143789172173,1.054758471250534,1.6984654903411864,2.6372172594070435,2.676870894432068,14.38609310356539,13.866151142120362,14.887887763977051,0.8848368119911342,0.8912775397300721,0.8783488571643829,0.3195942159790275,0.32785334140062333,0.3111159145832062,0.08637734956281479,0.0903831847012043,0.08217647448182105,0.030852192644283457,0.03574801916256547,0.025015889108181,0.002443516298054691,0.0029286518460139633,0.0018342688359552994,0.0006988404871084426,0.0005711653429898433,0.0008065520465606824,0.0,0.0,0.0,
eDMD,625,2,10,10,0,9.5056984505959e-09,1.6124383757917887e-08,2.8847861683111226e-09,6.278078358870387e-05,8.21626084871241e-05,3.36475755830179e-05,0.00040367801642402895,0.0005333686523954384,0.00020354302378109424,0.0008105535961948092,0.0010024533723481,0.0005559509878366953,0.0017057377005908168,0.0019115496252197772,0.0014714143660967238,0.00827055936149023,0.004084874113323167,0.010959840682335197,0.02231287380572967,0.02087246044538915,0.02366577845532447,0.04111247220939274,0.037673689983785154,0.04428502935916186,0.0001302310061873868,0.001346360586467199,0.0028919361007865517,0.006259180488996208,0.022505862230900675,0.021745962370187045,0.01830837158486247,8.77780945204951,9.231459665298463,8.299399375915527,0.6121404960539247,0.6763044476509095,0.540411202609539,0.24346213845496112,0.25026071071624756,0.23646818473935127,0.07292420359263978,0.06010997416451573,0.08380137197673321,0.032268099536784826,0.026178925577551127,0.03737812663894147,0.006662882076805268,0.005870739975944161,0.0073703736183233556,0.0033591089075129003,0.0029291620943695308,0.0037399511667899786,2.4769151254355215e-15,1.0111026018439276e-15,3.942727649027115e-15,
KAE Baseline,37488,2,10,10,0,0.00014676978553325172,4.51270262855968e-05,0.000248412523762286,0.007314418988017339,0.004196104733273387,0.009454848244786263,0.01413461460383368,0.013646378414705396,0.01460654018446803,0.02747403922015257,0.026528542255982758,0.02838806277140975,0.10617392352901445,0.07761444766074418,0.12853716034442186,0.2809877316321571,0.22603583559393883,0.3268271893262863,1.6484795573114528,1.8593710362911224,1.4063104391098022,1.760857363593107,2.0698296070098876,1.3845731139183044,0.015006211306899785,0.03958607316017151,0.07251058630645275,0.26073777601122855,0.7157526403665543,3.1722434759140015,2.906057524681091,13.542518552802564,13.073280143737794,13.996033859252929,0.768239017598363,0.7998116135597229,0.7353120148181915,0.278979874780417,0.29031613394618033,0.26716302782297136,0.09700447441339806,0.09147006943821907,0.1022397305816412,0.04661347771837189,0.0469149824231863,0.046310010086745027,0.0076126818607590505,0.00901027787476778,0.00589243097929284,0.0019504141359686904,0.0023524958291091026,0.0014401367912796558,2.4769151254355215e-15,1.0111026018439276e-15,3.942727649027115e-15,
Advanced KAE (1 Expert),104660,2,10,10,0,0.0008669172137160785,0.000750748534259397,0.000983085116263417,0.01718100086947116,0.015088695027225185,0.019044812000356615,0.033480898790905454,0.020620204554870725,0.04262333083897829,0.0440726849102398,0.02331543208565563,0.05780305992811918,0.04973576413165031,0.02666359217837453,0.06508721318095922,0.06890609531060383,0.02889244365505874,0.09306624867022037,0.24934743033456824,0.1459588922560215,0.3210051149129868,0.29785439399989444,0.19727875143289567,0.372176805138588,0.03160496670752764,0.06807848773896694,0.08626572676002979,0.09773145876824856,0.1694614566862583,0.4679141104221344,0.47437107264995576,13.950493471306624,13.357101249694825,14.51965503692627,0.7252086124072364,0.7240020871162415,0.7264131337404252,0.23105932733658538,0.20375623553991318,0.25546080321073533,0.04224886534149153,0.04265749822952784,0.04183624134748243,0.013175253693681785,0.011576652596704661,0.014599853918480222,0.005561063340737746,0.005329825100488961,0.005783062800765038,0.001831968328480005,0.0020298772607930003,0.0016099112457595766,2.4769151254355215e-15,1.0111026018439276e-15,3.942727649027115e-15,1.0000371932983398
MoE (2 Experts),107710,2,10,10,0,0.0002808737079249113,0.00038058141142925607,0.0001811654821425775,0.008523395453072942,0.009223116422072053,0.007760841678828001,0.03512427121053142,0.0113880786113441,0.048350186366587874,0.047669274715612345,0.014723629131913185,0.06578703708946705,0.04802659116881333,0.018534949375316502,0.06534188985824585,0.05686344242840188,0.024751376081258058,0.07651321161538363,0.8989657042913535,0.663513059169054,1.0844487518072128,1.7279463986032113,1.529061985015869,1.9061917424201966,0.019705221801996232,0.07188966553658246,0.09727890212088823,0.09278062637895346,0.1196626141667366,0.9007587552070617,1.3940921187400819,13.562765964396554,13.516452503204345,13.608921813964844,0.7260100833563765,0.6205232113599777,0.8180050283670426,0.2565138689343558,0.2191333070397377,0.2891008883714676,0.03731898367179053,0.03781809210777283,0.03681310899555683,0.01435282283639073,0.018286178167909384,0.008810376538895071,0.0097236928177207,0.010093718161806464,0.00933901802636683,0.004798218611377203,0.005147259077057242,0.004421710944734513,2.4769151254355215e-15,1.0111026018439276e-15,3.942727649027115e-15,1.0024815797805786
MoE (3 Experts),107943,2,10,10,0,0.0005379559810535284,0.0003627945117984928,0.000713115726064722,0.011721960849937024,0.010414029948879033,0.012897934429929592,0.05591284600121734,0.02347404551692307,0.07550802528858185,0.08030316021345069,0.030603975569829345,0.1093644903972745,0.08552217847616107,0.037374661583453414,0.1150270433165133,0.09407707758077818,0.03959875451400876,0.12701547816395758,0.43402928625100623,0.21069517731666565,0.5765157282352448,0.9578375862751568,1.0180055379867554,0.893627667427063,0.02700894856825471,0.07898181881755591,0.10695015005767346,0.10655848532915116,0.15042479038238527,0.6899274408817291,0.9587186634540558,13.78517025863747,13.72793207168579,13.842171764373779,0.7848167048510549,0.7370167911052704,0.8298679232597351,0.26501448418828594,0.2404807984828949,0.28746189177036285,0.05256214136466442,0.05359833352267742,0.05150510706007481,0.010544362151786621,0.0061163589591160415,0.01359990071505308,0.007525520120030426,0.00705434016417712,0.007968888944014907,0.004512384032119668,0.005216286284849048,0.003676081704907119,2.4769151254355215e-15,1.0111026018439276e-15,3.942727649027115e-15,1.0032566785812378
MoE (4 Experts),108176,2,10,10,0,0.00012015218148917484,0.00014153404157385812,9.877038258602152e-05,0.006620100858183814,0.007351941824890673,0.005796587112126872,0.024342058695420138,0.014461915625724941,0.03123979256488383,0.03241546795261234,0.017823032871820032,0.04223582157865167,0.03679317084610759,0.021933815139345825,0.04718455886468291,0.0627334738953334,0.03153104903176427,0.08292629523202777,0.5581707176485406,0.3221774026751518,0.7206322371959686,1.020587359831355,0.7579264342784882,1.2283096671104432,0.014268790697678923,0.05596924368292093,0.07480453252792359,0.08994922675192356,0.15492562130093573,0.8896112561225891,0.7696052193641663,13.43202948384072,13.671316146850586,13.188401985168458,0.7556629029198196,0.716871589422226,0.7925578653812408,0.23491921068716073,0.22755523771047592,0.24205925904680042,0.046141959583403176,0.045127335283905265,0.047134748101234435,0.016116217820961582,0.014610015507787465,0.017493210127577187,0.009138508736934498,0.009143101517111063,0.009133913647383451,0.003745239004496798,0.003973464388400317,0.003502172348089516,2.4769151254355215e-15,1.0111026018439276e-15,3.942727649027115e-15,1.0050958395004272
