model,n_params,n_x,n_valid,n_total,n_diverged,one_step_mse,one_step_mse_dim0,one_step_mse_dim1,nrmse_1step,nrmse_1step_dim0,nrmse_1step_dim1,nrmse_10step,nrmse_10step_dim0,nrmse_10step_dim1,nrmse_20step,nrmse_20step_dim0,nrmse_20step_dim1,nrmse_30step,nrmse_30step_dim0,nrmse_30step_dim1,nrmse_40step,nrmse_40step_dim0,nrmse_40step_dim1,nrmse_50step,nrmse_50step_dim0,nrmse_50step_dim1,nrmse_60step,nrmse_60step_dim0,nrmse_60step_dim1,nrmse_70step,nrmse_70step_dim0,nrmse_70step_dim1,nrmse_80step,nrmse_80step_dim0,nrmse_80step_dim1,nrmse_90step,nrmse_90step_dim0,nrmse_90step_dim1,nrmse_100step,nrmse_100step_dim0,nrmse_100step_dim1,nrmse_110step,nrmse_110step_dim0,nrmse_110step_dim1,nrmse_120step,nrmse_120step_dim0,nrmse_120step_dim1,nrmse_130step,nrmse_130step_dim0,nrmse_130step_dim1,nrmse_140step,nrmse_140step_dim0,nrmse_140step_dim1,nrmse_150step,nrmse_150step_dim0,nrmse_150step_dim1,nrmse_160step,nrmse_160step_dim0,nrmse_160step_dim1,nrmse_170step,nrmse_170step_dim0,nrmse_170step_dim1,nrmse_180step,nrmse_180step_dim0,nrmse_180step_dim1,nrmse_190step,nrmse_190step_dim0,nrmse_190step_dim1,nrmse_200step,nrmse_200step_dim0,nrmse_200step_dim1,nrmse_300step,nrmse_300step_dim0,nrmse_300step_dim1,nrmse_400step,nrmse_400step_dim0,nrmse_400step_dim1,nrmse_500step,nrmse_500step_dim0,nrmse_500step_dim1,nrmse_1000step,nrmse_1000step_dim0,nrmse_1000step_dim1,chamfer_1step,chamfer_10step,chamfer_20step,chamfer_30step,chamfer_40step,chamfer_50step,chamfer_60step,chamfer_70step,chamfer_80step,chamfer_90step,chamfer_100step,chamfer_110step,chamfer_120step,chamfer_130step,chamfer_140step,chamfer_150step,chamfer_160step,chamfer_170step,chamfer_180step,chamfer_190step,chamfer_200step,chamfer_300step,chamfer_400step,chamfer_500step,chamfer_1000step,divergence_1step,divergence_1step_dim0,divergence_1step_dim1,divergence_10step,divergence_10step_dim0,divergence_10step_dim1,divergence_20step,divergence_20step_dim0,divergence_20step_dim1,divergence_30step,divergence_30step_dim0,divergence_30step_dim1,divergence_40step,divergence_40step_dim0,divergence_40step_dim1,divergence_50step,divergence_50step_dim0,divergence_50step_dim1,divergence_60step,divergence_60step_dim0,divergence_60step_dim1,divergence_70step,divergence_70step_dim0,divergence_70step_dim1,divergence_80step,divergence_80step_dim0,divergence_80step_dim1,divergence_90step,divergence_90step_dim0,divergence_90step_dim1,divergence_100step,divergence_100step_dim0,divergence_100step_dim1,divergence_110step,divergence_110step_dim0,divergence_110step_dim1,divergence_120step,divergence_120step_dim0,divergence_120step_dim1,divergence_130step,divergence_130step_dim0,divergence_130step_dim1,divergence_140step,divergence_140step_dim0,divergence_140step_dim1,divergence_150step,divergence_150step_dim0,divergence_150step_dim1,divergence_160step,divergence_160step_dim0,divergence_160step_dim1,divergence_170step,divergence_170step_dim0,divergence_170step_dim1,divergence_180step,divergence_180step_dim0,divergence_180step_dim1,divergence_190step,divergence_190step_dim0,divergence_190step_dim1,divergence_200step,divergence_200step_dim0,divergence_200step_dim1,divergence_300step,divergence_300step_dim0,divergence_300step_dim1,divergence_400step,divergence_400step_dim0,divergence_400step_dim1,divergence_500step,divergence_500step_dim0,divergence_500step_dim1,divergence_1000step,divergence_1000step_dim0,divergence_1000step_dim1,reconstruction_error,recon_error_dim0,recon_error_dim1,spectral_radius
VAR (ARIMA),4,2,100,100,0,0.0014856381827212317,0.00031258919734795666,0.002658685513317295,0.020607023407661552,0.010714484495983924,0.027101635549042838,0.10874933647328572,0.06454304208280519,0.1395959601330105,0.1816475360053184,0.12076225445605815,0.22673361588502303,0.23888511421680678,0.17426275188103318,0.28942130000330507,0.2870385608639367,0.22660917200148106,0.33679452788084746,0.3292832267028406,0.27781002555042505,0.3737331621348858,0.3662378922223435,0.32678659237921237,0.40183443162590265,0.3981957957452729,0.37286303684115407,0.4220105914026499,0.42578703284892583,0.4156704982370138,0.4356687176972628,0.4499906332135911,0.45500863566994665,0.4449160386249423,0.4717813432883789,0.4907505024969578,0.45201683159917594,0.49191295242358,0.5230168994516134,0.45870472900569437,0.5108724806224457,0.5521371197700501,0.4659677927568555,0.5289258254678244,0.5785154853761196,0.47417812146246435,0.5461521985546015,0.6024571428447962,0.4833320173621178,0.5625218075953822,0.6241018961369992,0.493313684463501,0.5780363091670147,0.6435436576604843,0.5040868081152439,0.5927795422627873,0.6609051506221294,0.5157320557534695,0.6068617565322938,0.6763039110600948,0.5283705167472362,0.6203714053503891,0.6898296374082565,0.5420852631330491,0.6333830385024929,0.7015798066556453,0.5568966886401177,0.7503141117893928,0.7650998166203499,0.7352311223745346,0.84179320769703,0.8328690022230149,0.850623791217804,0.8829704380733061,0.8823265308141708,0.8836138761043548,0.9583192475510054,0.9434620559215545,0.9729495924711228,0.033295212308876214,0.25726421613246203,0.4619857182353735,0.6377922090888023,0.7936126884818077,0.9336544451117516,1.0588829255104064,1.1690235966444016,1.2620746049284934,1.341917106807232,1.41307108938694,1.477217172384262,1.5352158284187316,1.587012730240822,1.6339755594730376,1.6766364592313767,1.7159219467639923,1.7524289190769196,1.786765388250351,1.8191881906986236,1.8500640547275544,2.1288538587093355,2.395042691230774,2.5767878139019014,2.649963765144348,14.231856365505164,13.997428827285766,14.462484483718873,0.8719983212050642,0.8727320951223373,0.8712639293074608,0.31325472718271435,0.3155865199863911,0.31090544641017914,0.172532505930724,0.17612260427325965,0.16886609923094512,0.11547361552138713,0.12097815670073032,0.1096931965276599,0.0846793298143575,0.09102542012929916,0.07781741891056299,0.06568788583302704,0.07185831304639578,0.05887426888337359,0.05274761284256898,0.058491233633831144,0.04629683476407081,0.04345746997138545,0.048919564960524436,0.03720187571481801,0.03617525325340455,0.041620265250094234,0.02974981372055481,0.030358945666439294,0.035764607051387426,0.023753400733694433,0.025767711385557807,0.031109354987274854,0.018977827388152946,0.022357137060448708,0.02760438879253343,0.01541690223326441,0.0195797398257063,0.02462401915807277,0.012664521459082607,0.017286605308768514,0.021994421440176666,0.010672341435420094,0.015600492931552584,0.019935365660930984,0.009451558357213799,0.014312843767540518,0.01818978768424131,0.00887956178143213,0.013195020256119372,0.016572436226706486,0.00857738168851938,0.012262960910419639,0.015198977523250506,0.008351736515760422,0.011394053489444866,0.013896663693594746,0.008156693449418526,0.010584431897496364,0.01268649187466508,0.007944389284239151,0.006018094286510565,0.005418567718443228,0.006563081712374697,0.0040045037873340525,0.0035033325010545013,0.004449580042273737,0.00277828540270343,0.0026571860471722177,0.0028943223504757044,0.0008488707688312752,0.0006907623203187541,0.0009818404051475226,0.0,0.0,0.0,
eDMD,625,2,100,100,0,9.31631654051135e-09,1.615880419574412e-08,2.474469193235176e-09,5.8454118006882017e-05,7.647159095540701e-05,3.139846494136123e-05,0.00035079613253903916,0.00046247091015175104,0.00017954528808104443,0.0006811876202735647,0.0008741553688014392,0.00040482778958903507,0.001057911921392931,0.0012636293047398794,0.0008009970331113437,0.0015804606576529819,0.0016370883141644298,0.0015217271872461425,0.0023519649108450194,0.002058332527521998,0.0026128040664843864,0.003221280322050583,0.0025798619899433106,0.0037546778742398603,0.0038962005416969623,0.0031564041727688164,0.004516400117390731,0.004327873614474513,0.0037203341868007555,0.004860050780007441,0.004643913289171855,0.004230955171806272,0.005023034900223138,0.0049220021566983106,0.004694777996628545,0.005139189627116138,0.005166353141078213,0.005120569961727597,0.005211734147451352,0.005384048750414274,0.0055153916223207484,0.005249420648615341,0.005586260096962027,0.005883751611690968,0.0052720082239829935,0.005778802242512348,0.006226640408858657,0.005293208850489463,0.005967683185309532,0.006543591999216006,0.005329905153776054,0.006160234361003753,0.006835245846305043,0.005401517285499722,0.00636207907013389,0.007104942543664947,0.005520135110709816,0.006577776225923484,0.00735800558119081,0.005691575706587173,0.006806671683273022,0.007599879567278549,0.005907909052330069,0.007044100447107646,0.007835131774190813,0.00615218760271091,0.009928173999644328,0.010227894533891231,0.009619119052076712,0.014392809478224671,0.013825253171380609,0.014938818698283285,0.018737639056741254,0.01706614763941616,0.02027177445590496,0.038224152243072386,0.03341384550556541,0.04249337075278163,0.00012292237906876834,0.0011884174357692245,0.0023983133654110135,0.003816811963915825,0.005743734603747726,0.008439744987990707,0.011168225756846369,0.01285203467705287,0.013759564243955538,0.014369884235784412,0.014821441165404394,0.015120012676343322,0.015343790960032492,0.015529393735341727,0.01568514358717948,0.01580661323154345,0.01588669154327363,0.01593017462641001,0.01594242238905281,0.01592687838478014,0.0158908036374487,0.01522161867003888,0.015503586875274778,0.015703527084551753,0.016023063203319907,8.57478414389317,9.061440587043762,8.058792757987977,0.6155684036959246,0.6464929413795472,0.5830058284476399,0.24447526630084274,0.2504485533386469,0.23835233121644706,0.14399118625917898,0.14490764310583473,0.1430688589811325,0.09849932281647374,0.09847985657863319,0.098518785207998,0.07396594989593415,0.07398995487252251,0.07394193712621927,0.060246914632613925,0.05880665550008416,0.06165353772812523,0.05141722794282426,0.04950520837097429,0.05326065154309617,0.04453414524218431,0.04228410995332524,0.04667584204231389,0.03904968030437747,0.03714079221310385,0.04086950718483422,0.034406400546440445,0.03291643563541584,0.03583446751639713,0.03092073291317108,0.02973651981446892,0.03206123573880177,0.027793815025821716,0.027238772569253344,0.028337988218991087,0.02489128359550017,0.025110050301882438,0.024670577048382256,0.022341388132533346,0.023157684941543265,0.021494112578220665,0.020273123966790846,0.021340022410149685,0.01914686800184427,0.01858692499358327,0.01960217358529917,0.01751291957858484,0.01724786547739175,0.01811255392152816,0.016337475860491394,0.016278976454264685,0.016852461188100278,0.01568453699350357,0.0155033664507086,0.015718388612149282,0.015285319821559824,0.014829938621619817,0.014694946301169694,0.014963713183824438,0.010464672281923068,0.008714292924414621,0.011961598169291392,0.008008226438357378,0.006383028153795749,0.009355230246437713,0.0063296312369805355,0.005063169042914524,0.00738192267876002,0.003272699998349998,0.0027101166284046485,0.0037518526648636905,1.9780390369080244e-15,1.9129266724291626e-15,2.0431514013868855e-15,
KAE Baseline,37488,2,100,100,0,0.00014828663510343176,2.516780408870966e-05,0.0002714051962775509,0.007658570856802768,0.0028603678538638632,0.010446325233206153,0.01517697175972266,0.012850438216119073,0.017191485719522462,0.032242310970088485,0.026424936081748455,0.03715987064642832,0.053976626750736674,0.040386986999074,0.06477533289697021,0.07809197879685326,0.054677607277408245,0.09595349689945579,0.10304193164263363,0.06931956783402711,0.12817986140027643,0.12781134163134006,0.08487896582111716,0.15958395677618684,0.15243754396215708,0.1016618076711893,0.19010335735976697,0.1786449555452585,0.11986716992920264,0.22239582248032094,0.20796870425425668,0.14045914890011774,0.2584050916461274,0.24019417329838041,0.1645104670105502,0.2971915005799383,0.27471241970073607,0.1923810812737793,0.3375253274105489,0.31137201036367873,0.22383295085281132,0.37921480428427456,0.35008918274938006,0.25832903654314576,0.4223635645210743,0.39032038982354655,0.2955042737349868,0.4662373190000653,0.4309477893305328,0.3346284244209528,0.5093680514395237,0.4711667479850538,0.3752099560201168,0.5506484338641167,0.5106705551448633,0.4168447921425104,0.5897535511106252,0.5493284623084463,0.4591008652001619,0.6266976261138916,0.5872407762739886,0.5020021879673005,0.6615869269520044,0.6245012893187296,0.5453896536305547,0.6946609579026699,0.9799309231413291,0.9840300388634204,0.975814588367939,1.273055397854425,1.3693533451855182,1.1688505071401596,1.4412835894273364,1.6354740506410599,1.216479099690914,1.7946953917288764,2.1289843034744265,1.3817702174186706,0.014632092393003403,0.03882110665552318,0.07224384427070618,0.11568440256640315,0.16676323005929589,0.221773533904925,0.27775032619014384,0.3328302190080285,0.38867995589971543,0.4475449683144689,0.5110288291797042,0.5776625029370188,0.646730681732297,0.7176310534030199,0.7891307911276817,0.8590739141404629,0.9263714532554149,0.9913727822899818,1.0554839980602264,1.1189734995365144,1.181817364692688,1.7613353872299193,2.2074787455797193,2.4554463148117067,2.5150622791051864,13.354804385502119,12.615801935195924,14.055004158020019,0.7293927449126497,0.7704037114977836,0.6859341615438461,0.2844951489256631,0.2962524874135852,0.27223049650201575,0.16729103092442793,0.16640440210700036,0.1681729853898287,0.1175460402619453,0.11312830006703735,0.12180365711450576,0.08895659282324778,0.08406149971298874,0.09359602063894272,0.0718259617905647,0.06783526891376823,0.07560630837222561,0.059664438506188584,0.05633390716742724,0.06281863853801042,0.051590805823330886,0.048903578871977514,0.054144828603602944,0.04586839477654853,0.04400403081672266,0.04765988408122212,0.041515463155525734,0.040542513511609285,0.04246612720977282,0.03820947881174864,0.03807728385552764,0.038341217981651424,0.035778095774967,0.03598726337077096,0.03556769812130369,0.03371712260944121,0.03424415362533182,0.033181721724540696,0.03184028285795536,0.03259981423383579,0.031062184998299925,0.030093598316293615,0.031041842456907033,0.029114486705511807,0.028424719288231506,0.029563979147933423,0.027237849954981356,0.02680559178877641,0.02811584030278027,0.0254279182467144,0.025314114125837003,0.026795526300556958,0.023740440565161405,0.023941107075010334,0.025533131794072687,0.022235386138781905,0.022717300196982485,0.02432578495237976,0.02098589152097702,0.014380607440117498,0.016332277951587457,0.012118598830129486,0.010213791079310542,0.011762016176944598,0.008384392159059643,0.007192208032500087,0.008666815840733762,0.0053237220014125345,0.0022622215860384795,0.002840905048651621,0.0014712414870518842,1.9780390369080244e-15,1.9129266724291626e-15,2.0431514013868855e-15,
Advanced KAE (1 Expert),104660,2,100,100,0,0.0011835124983554123,0.0008005330557669315,0.0015664917666439616,0.021605918545772335,0.016107327418867497,0.0259650810866151,0.03554006012523151,0.01794541517039761,0.04694841660559177,0.043260442051466105,0.02155388448969461,0.05725697997957468,0.04642955488087859,0.024600241146981717,0.06087885731831193,0.04835527758910856,0.027120326498989017,0.06277701515704394,0.05025690260907616,0.029223506569396703,0.06478810989297927,0.051439385307572826,0.030977165531367062,0.0658212422952056,0.05150419972271418,0.03244834253564477,0.06521096721291542,0.051091129062166604,0.033768467786721885,0.06387720658443868,0.050990202041287784,0.03502280628308654,0.06303494624793529,0.051312168314748635,0.03616551869083196,0.06291210131719709,0.051981928721000846,0.03715721445158124,0.06343172109685838,0.05289928011330347,0.03800335147883743,0.06443921903148293,0.05385073875981245,0.0387800086569041,0.06554323045536875,0.05464072412816874,0.03948101214133203,0.06642640398815275,0.0553116870711559,0.04009351865388453,0.06716602724045515,0.05620042038235815,0.040712016681209204,0.06826057573780417,0.05769497892343566,0.041462710369378326,0.07027278872206807,0.059887850293202774,0.042332699690014124,0.07335565255954862,0.06268711382598637,0.04326197485439479,0.07738055318593978,0.06625375640436071,0.04426886325702071,0.0825795871950686,0.12067040482737036,0.06913163043558597,0.15602407146245242,0.20366968204510202,0.11770688500255347,0.2628835635632277,0.23612591911738498,0.14778595700860023,0.29944984599947927,0.30602610456730406,0.2057353062182665,0.38075837105512617,0.03477951374836266,0.07630316996946931,0.08861007034778595,0.09600189289078116,0.1046723392419517,0.11512061111629009,0.1249292135424912,0.1293875068798661,0.1300630929507315,0.12980412513017656,0.12943337032571434,0.12960775239393116,0.13058106020092963,0.13212369628250598,0.1334271479025483,0.13454234920442104,0.13628808934241532,0.13869546111673117,0.1416659478098154,0.14538364451378583,0.1505054533109069,0.22999138481914996,0.3502977814525366,0.4033734406530857,0.43174918591976164,14.58990459868302,14.25032745361328,14.921755924224854,0.6939388268514237,0.6583172835782171,0.7278190331161022,0.22977919137357866,0.2207261023670435,0.23848887041211128,0.11331325699453265,0.11225389780825935,0.1143628036044538,0.06709957177481468,0.06951846451032907,0.0645901552626492,0.042765911147979375,0.04719812218099832,0.03781776798306964,0.030162785283052093,0.03550094908074243,0.023648886790492724,0.0235397299507626,0.02922767644180567,0.015936772010754795,0.01881519153650796,0.024469695566913287,0.010452600823409739,0.01580310126815691,0.021089809775003233,0.007395670560363214,0.013912449265853031,0.018484364062314854,0.00674097725568572,0.012393176549071346,0.016212834271718747,0.00665775148459943,0.01111180341095179,0.014285368826822378,0.00654771621017062,0.009933335024506332,0.012569218027347234,0.006273519554379163,0.009132904685889707,0.011371949627537105,0.006123614755342715,0.008289387632703859,0.010335261926438761,0.005532653573318384,0.007645257548943931,0.009391875291657924,0.0053565478141536,0.007276513939759511,0.008606479439768009,0.005641260664415313,0.006853613053108676,0.007816003485655755,0.0057318507722811775,0.0064828786120351665,0.007070804468967253,0.005836022134844825,0.006316083573610886,0.0064503052200598175,0.006178946996515151,0.0066150648353818136,0.005294521260148031,0.007712730397106498,0.006896314219082876,0.00610970337089384,0.007601961874170229,0.005519376813847839,0.005298920371569693,0.005731359674828127,0.0020410512509791163,0.002210656185270636,0.0018560117587912827,1.9780390369080244e-15,1.9129266724291626e-15,2.0431514013868855e-15,1.0000371932983398
MoE (2 Experts),107710,2,100,100,0,0.0002293749143700552,0.00021626296752812324,0.00024248663016433007,0.008467908277867676,0.008536100034889386,0.008399162898713257,0.03219548602558224,0.012142676584189757,0.04388227485236712,0.042762615583137854,0.014567080384003929,0.05869482730282471,0.04584037652029276,0.015911162174888888,0.06284516813000664,0.047450372522736,0.01643256493494846,0.06506186682498083,0.04911698987257863,0.016941559389233588,0.06736424091272056,0.05046264709335975,0.017739752209745347,0.06912494987249375,0.050723080845545,0.018637112542055547,0.06926990614272655,0.05057212651052462,0.019601548828650266,0.06878124194219709,0.05068526626787495,0.020848301760852336,0.06858090657740831,0.05083986181314931,0.022274467116221785,0.06836103578098118,0.05103903191968618,0.023828256181441246,0.0681335436180234,0.05145639640892115,0.025696919141337274,0.0680822282936424,0.05218492040351047,0.027908445997163654,0.06832020548172295,0.053382486168714244,0.030335808536037803,0.06913116793148219,0.05556977619173831,0.032975220340304076,0.07133466825820506,0.05866353142562341,0.03608669068664312,0.07470321675762534,0.06232693059007899,0.03993270928505808,0.07857907662168145,0.06652677924822137,0.04457859078422189,0.0828515175357461,0.07152165373587879,0.05025640849024057,0.08777805712074041,0.07787850065455479,0.056971566006541255,0.09425689574331045,0.2310926214124749,0.1671366647724062,0.2808432563394308,0.48773847457380054,0.36798612954095006,0.5834071028232575,0.7345085450200449,0.6008792926743627,0.8473191140592098,1.7412323277667912,1.5026177752017975,1.9508766901493073,0.017423204750521108,0.05308229817543179,0.06590140745975077,0.07262013755738735,0.07995455473661423,0.0883431066107005,0.09472182853147387,0.09690289940685033,0.097864446984604,0.09865071512758732,0.098664381345734,0.09903993661515414,0.10042625375092029,0.10271896177902817,0.10591702792793513,0.11063517436385155,0.11703012891113758,0.12494641371071338,0.1339812972396612,0.14460486233234404,0.15754058592021467,0.3853089129179716,0.6621469824016094,0.8824497023224831,1.258843476176262,13.528440372920512,13.622617206573487,13.433603324890136,0.7349185463397284,0.6658949111402035,0.7979940518736839,0.2437728551850868,0.20942777927964926,0.2738437786698341,0.12145412325396213,0.10633329229429364,0.13489047060720621,0.07043206778061085,0.06064788395713549,0.07901383749209344,0.04495274758088602,0.03716333258809754,0.05157892729679588,0.032481882607530495,0.02895728648698423,0.035659794654056894,0.024682173384412358,0.02414239191726665,0.025210400204468898,0.020020952222857238,0.021754035653721075,0.018122885769007554,0.016845594841331083,0.019636569410358788,0.01348900563083589,0.01475981696202043,0.01799731123188394,0.010573607800906756,0.013206195776551098,0.016698045782977716,0.008365553227777127,0.012040707406526989,0.015738271669833923,0.006501082567210687,0.011462033810828812,0.015286165597644867,0.005393475640303223,0.01111700296265892,0.0149652001040522,0.004818536664715794,0.01065197549132376,0.01431300911208382,0.004697545517919934,0.010249569253686358,0.013687311210960616,0.004771252622376778,0.00996314105454154,0.0131824544997653,0.0049750630857306535,0.009737036421411509,0.012784519749402534,0.0051162301864678735,0.009652732161176509,0.012545107021869626,0.005382449828903191,0.00967559099109241,0.012380817282828502,0.005826618698956736,0.010655143142004681,0.011287044932068967,0.009983324469067157,0.010076570507489562,0.010181558146141469,0.009970477425958961,0.008968344729520893,0.009079017732292414,0.008856288804672659,0.0050555054541239035,0.005213504573330283,0.004892406448489055,1.9780390369080244e-15,1.9129266724291626e-15,2.0431514013868855e-15,1.0024815797805786
MoE (3 Experts),107943,2,100,100,0,0.00032527147806035825,0.0003965403742515226,0.0002540023186588938,0.010388878413327739,0.011389382336637936,0.009281139981903835,0.02863041441197714,0.017150033509824424,0.036678026247536764,0.03750268086591456,0.020439804650377483,0.048939927769824865,0.0416283668569937,0.021880207173526286,0.054654353791847826,0.04528017799655932,0.023086372865363955,0.059729460291564465,0.048077336935275675,0.023562644692137837,0.06377822848502547,0.04950344981612337,0.023708300825674086,0.06587184193078428,0.04988992863574043,0.024069096050225197,0.06632260982412845,0.05006267656579702,0.024628686290234326,0.06637748851440847,0.05043676373790683,0.02504237331915647,0.06678782681934535,0.05070000413144602,0.02559730364475399,0.06697580819949507,0.0511007491334417,0.027032390432432295,0.0670210637897253,0.05191958695703472,0.02942203914746642,0.06727280752267689,0.053265350040566484,0.03249466253444552,0.06795948746614158,0.05510486656095044,0.03556630838662386,0.06934068318922072,0.057604805071418345,0.03859512898605317,0.07174289618618786,0.060837656024584276,0.04153877598233521,0.07534567586146296,0.06456150847165493,0.044439134956337514,0.07975926301442086,0.06888567649791333,0.04751047199591994,0.08504838566295803,0.07409933758187359,0.05110073408577591,0.09148846176452935,0.08035691723225583,0.0552757575456053,0.09929279390722513,0.1771412444321639,0.13410176791250705,0.21160046502947807,0.33017103153406047,0.2406056802906096,0.4001683729887009,0.4808097423434257,0.30578037329018115,0.6073338291049004,1.026827326324269,0.9442031237483025,1.1032810962200166,0.019907506465679035,0.05224354194477201,0.061266046538949015,0.0689990588184446,0.07888250059448182,0.0891154157370329,0.09748963182792067,0.10137296300381422,0.1035051017254591,0.10489239973947406,0.10524945171549917,0.1070341587997973,0.11131564823910595,0.1168059355020523,0.12242748763412237,0.12867729179561138,0.13531048115342856,0.1423202958330512,0.1496763030439615,0.15756249759346247,0.16608452532440424,0.2826836896315217,0.5263443713635206,0.7385932230949401,0.976908101439476,13.746742819227244,13.823338174819947,13.669718284606933,0.7293459089445312,0.6999965845048428,0.757559034973383,0.23819482763188773,0.2152444141730666,0.2591204237192869,0.1135319185023723,0.09894739088893402,0.12644527224823832,0.06865644620792268,0.05550781931728124,0.07966365047148428,0.04515308957143516,0.034185512978583577,0.05393471700197552,0.03147178380030957,0.022671813675842714,0.038300590279977766,0.023965305527862208,0.01695703778095776,0.029345026968512683,0.019424275209195443,0.014779471905931131,0.023155391272593986,0.016260209739210593,0.012651569836016278,0.01920225565423607,0.01357377184269086,0.010768124471487681,0.01589157196256565,0.011511243100424524,0.009704523275067913,0.013070564771187492,0.01004119055390892,0.008994371125700127,0.010988735301798442,0.008679175335342642,0.008141886798111954,0.009185088370286395,0.007545287179644535,0.007259579457022483,0.00782056413270766,0.006755481378659458,0.006548694506564061,0.006956123746349476,0.0061116269696933736,0.006012335145205725,0.006209331247009686,0.005708030414815361,0.005620393521585356,0.005794341989858367,0.005558868084037794,0.00558972917846404,0.0055278346993100054,0.005532103206925445,0.00579172370483775,0.005259683289987152,0.005652016378202126,0.006158322293777019,0.0050956495959690075,0.008417514998649732,0.009028127763886005,0.007758996493357699,0.009604153395947085,0.010048264462820953,0.009138484895811417,0.008710827315645745,0.008480770241003483,0.008934962851926685,0.004584105946726328,0.005015220659552142,0.004107994206133298,1.9780390369080244e-15,1.9129266724291626e-15,2.0431514013868855e-15,1.0032566785812378
MoE (4 Experts),108176,2,100,100,0,0.00019968793317275412,0.00024786673398806555,0.00015150924201716572,0.008254935937040415,0.00914366274846543,0.007258193039015168,0.020077675677542168,0.013881953760283068,0.024769285032525658,0.025367236450986812,0.01645415580132976,0.03187874099123292,0.02736976286535904,0.017652817028574644,0.03444685601862148,0.029013540912928633,0.01833319543162361,0.0367078337399289,0.030887168064328306,0.01900796701433137,0.03932850737124682,0.03218842530216033,0.019440567733254283,0.0411613140348345,0.03255322965599065,0.019654521902557464,0.04163082140497863,0.032494843551257264,0.01979629701934755,0.04147211520001292,0.032766805134659474,0.019891087545547633,0.041852976880036294,0.03340358169528087,0.02000176880043,0.04279635247308761,0.034347325811015496,0.020302733802236617,0.04412795690819621,0.0359519154685086,0.020812285766005516,0.04638889105059207,0.038431311959371155,0.021597465574741362,0.049874652465805414,0.04159473851961671,0.02262700817082077,0.05429791014641523,0.04530021780943273,0.023799546621739866,0.05947941700927913,0.049735126109070715,0.02502805044874549,0.06573250511661172,0.05496487807825167,0.02641197750810534,0.07310733949765563,0.06143093054250793,0.02814050158020109,0.08219264337792992,0.06903205537750645,0.030220912750810385,0.09283073721453547,0.07735311063512412,0.03265437006950379,0.10440641534514725,0.1977731662481403,0.09488562553189694,0.26310676282271744,0.3744290793630523,0.23066503943875433,0.4766423297673464,0.5048897382786037,0.3234231477975845,0.6365726691484451,0.8537427063833608,0.6229964408278466,1.0342285299301148,0.01596957600908354,0.04445155228488147,0.053503400590270755,0.0603133185300976,0.06698439059779047,0.07415389551781118,0.07930201556533575,0.080222949963063,0.07902950909920037,0.07791427151300014,0.0773243551980704,0.0776437304355204,0.07957873394712806,0.08276580108329654,0.08692671619355678,0.09178691799752414,0.09750065732747316,0.10419948412105441,0.1127873107790947,0.12332981646060943,0.1361157000809908,0.34988115306943657,0.6412728490680456,0.7910841742157936,0.8354725497961044,13.590520749675168,13.68487247467041,13.495509395599365,0.7106715151343993,0.6871072852611542,0.7334790953993797,0.22952473478674057,0.2093481629062444,0.24806562528014184,0.10777067802856091,0.09798769876593724,0.11673666508868337,0.06103886448672619,0.05820919758523815,0.0637430409702938,0.03739412155228736,0.03884782253298909,0.035881573791848496,0.025045532250058733,0.026412381888949312,0.023599649453535675,0.0186071847223203,0.019258450910274404,0.017932281369576232,0.014403839390331373,0.015064416185996379,0.013711474878364242,0.011965247101028165,0.011703658954029379,0.012221237395006029,0.010617625345645374,0.009316760179353878,0.01177564926963214,0.00961538429300362,0.007870647663658019,0.011088919494650327,0.00965663469080889,0.007527545564225874,0.011394614731616457,0.010021949929011757,0.007592605901591014,0.011967927823243373,0.01035956481472514,0.007581327658808732,0.012536532105441438,0.010507414815045087,0.007545020280958852,0.01280172649101587,0.010531672009597565,0.0075380353521904905,0.012845631695818156,0.010590746879337464,0.0076278541658632544,0.012889673376339488,0.010793284065872039,0.007804176345380256,0.01311810936924303,0.01101326633128355,0.008059536905493587,0.01332771306100767,0.011197006411485532,0.008291290302222478,0.013490752769284882,0.011630690450472348,0.009630249156616628,0.013334324950701557,0.01139340379230176,0.010583951353037264,0.012149044147809035,0.009818270759711558,0.009602701232070103,0.010029207868501543,0.003877910715207503,0.0039590839226730165,0.0037950016499962657,1.9780390369080244e-15,1.9129266724291626e-15,2.0431514013868855e-15,1.0050958395004272
