model,n_params,n_x,n_valid,n_total,n_diverged,one_step_mse,one_step_mse_dim0,one_step_mse_dim1,one_step_mse_dim2,one_step_mse_dim3,nrmse_1step,nrmse_1step_dim0,nrmse_1step_dim1,nrmse_1step_dim2,nrmse_1step_dim3,nrmse_10step,nrmse_10step_dim0,nrmse_10step_dim1,nrmse_10step_dim2,nrmse_10step_dim3,nrmse_20step,nrmse_20step_dim0,nrmse_20step_dim1,nrmse_20step_dim2,nrmse_20step_dim3,nrmse_30step,nrmse_30step_dim0,nrmse_30step_dim1,nrmse_30step_dim2,nrmse_30step_dim3,nrmse_40step,nrmse_40step_dim0,nrmse_40step_dim1,nrmse_40step_dim2,nrmse_40step_dim3,nrmse_50step,nrmse_50step_dim0,nrmse_50step_dim1,nrmse_50step_dim2,nrmse_50step_dim3,nrmse_60step,nrmse_60step_dim0,nrmse_60step_dim1,nrmse_60step_dim2,nrmse_60step_dim3,nrmse_70step,nrmse_70step_dim0,nrmse_70step_dim1,nrmse_70step_dim2,nrmse_70step_dim3,nrmse_80step,nrmse_80step_dim0,nrmse_80step_dim1,nrmse_80step_dim2,nrmse_80step_dim3,nrmse_90step,nrmse_90step_dim0,nrmse_90step_dim1,nrmse_90step_dim2,nrmse_90step_dim3,nrmse_100step,nrmse_100step_dim0,nrmse_100step_dim1,nrmse_100step_dim2,nrmse_100step_dim3,nrmse_110step,nrmse_110step_dim0,nrmse_110step_dim1,nrmse_110step_dim2,nrmse_110step_dim3,nrmse_120step,nrmse_120step_dim0,nrmse_120step_dim1,nrmse_120step_dim2,nrmse_120step_dim3,nrmse_130step,nrmse_130step_dim0,nrmse_130step_dim1,nrmse_130step_dim2,nrmse_130step_dim3,nrmse_140step,nrmse_140step_dim0,nrmse_140step_dim1,nrmse_140step_dim2,nrmse_140step_dim3,nrmse_150step,nrmse_150step_dim0,nrmse_150step_dim1,nrmse_150step_dim2,nrmse_150step_dim3,nrmse_160step,nrmse_160step_dim0,nrmse_160step_dim1,nrmse_160step_dim2,nrmse_160step_dim3,nrmse_170step,nrmse_170step_dim0,nrmse_170step_dim1,nrmse_170step_dim2,nrmse_170step_dim3,nrmse_180step,nrmse_180step_dim0,nrmse_180step_dim1,nrmse_180step_dim2,nrmse_180step_dim3,nrmse_190step,nrmse_190step_dim0,nrmse_190step_dim1,nrmse_190step_dim2,nrmse_190step_dim3,nrmse_200step,nrmse_200step_dim0,nrmse_200step_dim1,nrmse_200step_dim2,nrmse_200step_dim3,nrmse_300step,nrmse_300step_dim0,nrmse_300step_dim1,nrmse_300step_dim2,nrmse_300step_dim3,nrmse_400step,nrmse_400step_dim0,nrmse_400step_dim1,nrmse_400step_dim2,nrmse_400step_dim3,nrmse_500step,nrmse_500step_dim0,nrmse_500step_dim1,nrmse_500step_dim2,nrmse_500step_dim3,nrmse_1000step,nrmse_1000step_dim0,nrmse_1000step_dim1,nrmse_1000step_dim2,nrmse_1000step_dim3,chamfer_1step,chamfer_10step,chamfer_20step,chamfer_30step,chamfer_40step,chamfer_50step,chamfer_60step,chamfer_70step,chamfer_80step,chamfer_90step,chamfer_100step,chamfer_110step,chamfer_120step,chamfer_130step,chamfer_140step,chamfer_150step,chamfer_160step,chamfer_170step,chamfer_180step,chamfer_190step,chamfer_200step,chamfer_300step,chamfer_400step,chamfer_500step,chamfer_1000step,divergence_1step,divergence_1step_dim0,divergence_1step_dim1,divergence_1step_dim2,divergence_1step_dim3,divergence_10step,divergence_10step_dim0,divergence_10step_dim1,divergence_10step_dim2,divergence_10step_dim3,divergence_20step,divergence_20step_dim0,divergence_20step_dim1,divergence_20step_dim2,divergence_20step_dim3,divergence_30step,divergence_30step_dim0,divergence_30step_dim1,divergence_30step_dim2,divergence_30step_dim3,divergence_40step,divergence_40step_dim0,divergence_40step_dim1,divergence_40step_dim2,divergence_40step_dim3,divergence_50step,divergence_50step_dim0,divergence_50step_dim1,divergence_50step_dim2,divergence_50step_dim3,divergence_60step,divergence_60step_dim0,divergence_60step_dim1,divergence_60step_dim2,divergence_60step_dim3,divergence_70step,divergence_70step_dim0,divergence_70step_dim1,divergence_70step_dim2,divergence_70step_dim3,divergence_80step,divergence_80step_dim0,divergence_80step_dim1,divergence_80step_dim2,divergence_80step_dim3,divergence_90step,divergence_90step_dim0,divergence_90step_dim1,divergence_90step_dim2,divergence_90step_dim3,divergence_100step,divergence_100step_dim0,divergence_100step_dim1,divergence_100step_dim2,divergence_100step_dim3,divergence_110step,divergence_110step_dim0,divergence_110step_dim1,divergence_110step_dim2,divergence_110step_dim3,divergence_120step,divergence_120step_dim0,divergence_120step_dim1,divergence_120step_dim2,divergence_120step_dim3,divergence_130step,divergence_130step_dim0,divergence_130step_dim1,divergence_130step_dim2,divergence_130step_dim3,divergence_140step,divergence_140step_dim0,divergence_140step_dim1,divergence_140step_dim2,divergence_140step_dim3,divergence_150step,divergence_150step_dim0,divergence_150step_dim1,divergence_150step_dim2,divergence_150step_dim3,divergence_160step,divergence_160step_dim0,divergence_160step_dim1,divergence_160step_dim2,divergence_160step_dim3,divergence_170step,divergence_170step_dim0,divergence_170step_dim1,divergence_170step_dim2,divergence_170step_dim3,divergence_180step,divergence_180step_dim0,divergence_180step_dim1,divergence_180step_dim2,divergence_180step_dim3,divergence_190step,divergence_190step_dim0,divergence_190step_dim1,divergence_190step_dim2,divergence_190step_dim3,divergence_200step,divergence_200step_dim0,divergence_200step_dim1,divergence_200step_dim2,divergence_200step_dim3,divergence_300step,divergence_300step_dim0,divergence_300step_dim1,divergence_300step_dim2,divergence_300step_dim3,divergence_400step,divergence_400step_dim0,divergence_400step_dim1,divergence_400step_dim2,divergence_400step_dim3,divergence_500step,divergence_500step_dim0,divergence_500step_dim1,divergence_500step_dim2,divergence_500step_dim3,divergence_1000step,divergence_1000step_dim0,divergence_1000step_dim1,divergence_1000step_dim2,divergence_1000step_dim3,reconstruction_error,recon_error_dim0,recon_error_dim1,recon_error_dim2,recon_error_dim3,spectral_radius
VAR (ARIMA),160,4,100,100,0,0.00360112320719054,0.0005577929627940911,0.00222228045333535,0.0008865928336356927,0.0035355801062770904,0.013122586181123955,0.0143912924581673,0.01452820498852816,0.00926370160872466,0.01359466314490419,0.0811180135523545,0.08318436878733337,0.0906302208127454,0.0546914759997162,0.09053118141600862,0.15625533465806543,0.14893014202825725,0.17796458049677313,0.10137375301914289,0.18312482496723534,0.22961719238841968,0.2090497663244605,0.2672616499848664,0.14530108801089228,0.2732274137623608,0.298474378932302,0.26514512464404105,0.3526974595338106,0.18633469411637635,0.35627203959971665,0.3655855201110245,0.31816748742014167,0.4371502363309264,0.22531361208297312,0.43762311078608035,0.4301132860459956,0.3665245142579079,0.5151687650382519,0.26206932990811765,0.5211241172999144,0.4933671208658395,0.41097582422196866,0.5846695317327977,0.2975776711292565,0.6118434473127127,0.5534575703694182,0.4563152837753296,0.6457718747109175,0.33292555349878966,0.6994117186963558,0.6056444405755902,0.50246945861727,0.6993093684315681,0.36870227408595385,0.767964997291565,0.6565230743698984,0.5482598728686571,0.7558645096421241,0.40363078420981763,0.8302122220396996,0.6919231696291869,0.5927368195354938,0.7920988228917122,0.43620124597102405,0.8637138885259629,0.7158289081079318,0.6351511136442423,0.8108960813283921,0.4653258030489087,0.8787187308073043,0.7371862377333072,0.674551208987832,0.8248026189208031,0.4914911226555705,0.8926880636811256,0.7540005203194429,0.7103411599993705,0.8329080006480217,0.51560801461339,0.899941782951355,0.767541957424786,0.7416482543200255,0.8373805886507034,0.5379002279415727,0.9032704949378967,0.7795988588053206,0.7678951420634985,0.8411372357606888,0.55863739002496,0.9065577700734139,0.7914049363142213,0.7895690920948982,0.8454757571220398,0.5779224143922329,0.9127125334739685,0.8022816585673537,0.8077830239385366,0.8508718818426132,0.5957508239895105,0.9182635903358459,0.8114964701134189,0.8234899517148733,0.8553413963317871,0.6118980018422008,0.9219231608510018,0.8228390275296111,0.8368256422877312,0.8652031582593918,0.6262728107720613,0.9312276664376259,0.9102158242065834,0.9154252262413501,0.9460676056146622,0.7694126964360476,0.9944487065076828,0.9610089549210202,0.9731548908352852,0.9678199619054795,0.884820863083005,1.0136759668588637,1.0079804970014585,1.0093417824804782,0.9867209231853485,0.9955375197529793,1.0395262199640274,1.1934488768419749,1.1605200225114822,1.0038741308450698,1.4741611176729201,1.0814619237184524,0.066267049908638,0.6261798685789108,1.2573723876476288,1.8590071779489517,2.415497558116913,2.930391184091568,3.408475135564804,3.862487416267395,4.287720800638199,4.663733158111572,5.014499909877777,5.2866645169258115,5.496023015975952,5.688836348056793,5.851955831050873,5.990272088050842,6.11875732421875,6.244083411693573,6.361110072135926,6.466626505851746,6.582113220691681,7.551143200397491,8.186480321884154,8.825750875473023,11.754902081489563,14.628216907584726,14.186616067886353,14.807645139694214,14.452415046691895,15.051252069473266,0.9019991224621327,0.8714500951766968,0.9155216604471207,0.8849008417129517,0.9347486233711243,0.3263388842699133,0.30645897045731546,0.33528346359729766,0.3189977195858955,0.3433607766032219,0.18203096055130838,0.1674017384648323,0.1919133911281824,0.1737957224994898,0.1936027827858925,0.1207684704119566,0.1097427124157548,0.12855080507695674,0.11493779899552464,0.12868808697909118,0.08725462558354119,0.07950590178370476,0.0938099419232458,0.08235463976627216,0.09246457932516933,0.06670721162827065,0.05876927939709276,0.0727975953463465,0.06242910200729966,0.07175442471634597,0.05329661252540681,0.046110029182163996,0.05800828908570111,0.0494666635885369,0.05851554004127138,0.04498413206433857,0.03909900519065559,0.048043788555660286,0.041635752315633,0.05023758407565765,0.03864506605798914,0.03384695848799311,0.04123528805735987,0.036136997686699035,0.04268391196499579,0.033436440476182896,0.02947652809554711,0.03582323644193821,0.03156292074359954,0.03638123504308169,0.02887822648623671,0.025952464330475777,0.03055894994584378,0.02782821691944264,0.030887187900952996,0.025125576285301435,0.02329559547750023,0.02597151304828003,0.024913302392524202,0.02621643453836441,0.022382375134279372,0.021587247425341047,0.02257412249688059,0.022687109570251777,0.022662252051522957,0.0200276489821474,0.02026751876444905,0.019550571006257088,0.020757783729059155,0.019507541263010353,0.017908333655422267,0.018902702361810953,0.01683377843699418,0.01887449324829504,0.016908545438054715,0.01607100028719712,0.01729470035585109,0.014666753024212085,0.017300698265316897,0.014818020643288037,0.014576007422619448,0.01584554370783735,0.012919735279865563,0.01606649733199447,0.013179788234992884,0.01334120554576453,0.014559900353197009,0.011475302062171977,0.015030603371596953,0.011931419371976518,0.012268877244348357,0.013571485234424472,0.010315493099624292,0.014002267293835757,0.010744454226387461,0.011305804339467549,0.012503986998344771,0.009549819770618341,0.012984521606631461,0.009753886260878062,0.006080764355062462,0.00604381492943503,0.005177064001909457,0.007905803211033345,0.0046980171960603915,0.004026903851638304,0.0037697631107585037,0.0030152756517054513,0.005887325735966442,0.002626825657134759,0.003017546705790169,0.0026230137314269086,0.00198344666412595,0.0047009684280055804,0.0018732289290710469,0.0013078271366658196,0.000939550028149938,0.0004695260039261484,0.0023265605586129823,0.0005705736770524084,0.0,0.0,0.0,0.0,0.0,
eDMD,17956,4,85,100,15,0.0007156923429147355,4.5630364502237356e-08,0.00027430753510436875,2.681830434284699e-07,0.0011567631384386617,0.004793300437979504,0.00016995194288824678,0.005406084287478734,0.00019770786541812414,0.00791259735919084,0.03114793494287259,0.0043053672428141,0.03546367116374313,0.004113901051896391,0.05086888109100982,0.06365353922976787,0.016537014423811343,0.07355729429516941,0.015590872515676892,0.10138968650717288,0.09952862636401504,0.03708609130466357,0.11576041174121202,0.03505469795287354,0.153685090104118,0.14112534102985252,0.0660495768650435,0.1660575725045055,0.06133591000398155,0.2096799696609378,0.1896433540062509,0.10635218364234102,0.22849250568685178,0.09055860754998153,0.2685850579481648,inf,inf,5508765435397785.0,2.101236431984171e+16,inf,0.3091507181703547,0.20378030222523344,0.3734691100461142,0.15509306682928742,0.4209955095589816,inf,inf,inf,inf,inf,0.4173552012213263,0.30899527930358256,0.49426842320033093,0.21972528684206985,0.555592384274033,0.4667391533090045,0.3622035823169757,0.55176396261562,0.24738345824351365,0.6120034869421612,0.5016681673850222,0.41439196501265874,0.5854438612745567,0.2717727554157715,0.6468061183325269,0.5276285805975148,0.46801917657427405,0.5961834027849394,0.29556337024631174,0.6721111299662754,0.5553755760256848,0.5135984962870335,0.6159338104998928,0.31503485776912205,0.7009730992474775,0.5775566726171881,0.5537305748325655,0.6299281603303449,0.33404690082902194,0.7206056284150858,0.5951962492124551,0.5931800728620484,0.6400667553724244,0.3514286425657744,0.7293724421151849,0.611374779055044,0.6221416244326636,0.6516753088596255,0.3699133970969638,0.739283201133096,0.8046214229128571,1.0504236110421115,0.6662266989086949,0.39202168813451777,0.9427267663007559,0.6379448522154225,0.6600724527064492,0.6693546596695396,0.4072728845564758,0.7604551480096929,0.6499223865816093,0.6758153061656391,0.6811853766441345,0.42221437280668933,0.7684995851095985,0.6638871917853713,0.6882061847869088,0.6987251039813547,0.43451538611860835,0.7825194369344151,0.7766864597991125,0.7793774315539528,0.8194586992263794,0.5694974437355995,0.899832400153665,0.834289221223177,0.8404847178389044,0.8630284397041097,0.6812896339332356,0.9320760723422555,0.8919691473623441,0.8857695621602676,0.9059932273976943,0.7924992877770872,0.9741505391457501,1.0966490519754228,0.9996461931396933,0.9656495311680962,1.327695601126727,1.05641347730861,0.03165840281872079,0.25475731268525126,0.5093163274228573,0.7812060706317425,1.0646970622241496,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12.162106656603038,9.436375341415406,13.630943965911865,10.388162736892701,14.453567562103272,0.8598957609035042,0.82163449883461,0.8709185928106308,0.8369719466567039,0.9075122004747391,0.3470714615955664,0.3639136169850826,0.32628870248794556,0.3694543533027172,0.32625211209058763,0.20958755467050377,0.23201794013381005,0.18780318036675453,0.23297848887741565,0.17979554196819664,0.15021063860701966,0.17194472711533307,0.13176932889968157,0.16820794634521008,0.12260051128687337,0.11727117504184358,0.1394611844146738,0.10206840913362648,0.13076180672006948,0.08968880523604397,0.09698627573689203,0.116053447665013,0.0850934818406234,0.10744020627024248,0.07329835902092997,0.08082458177973005,0.09666437782592825,0.07038395732109036,0.09007574384520342,0.06098285875191073,0.07052059917222125,0.08446246632892225,0.060715623960519834,0.07900027479562495,0.05320978294799311,0.06094696150949394,0.0734658982096748,0.05162495537661016,0.06869382153011182,0.045573162444105204,0.053751898224841985,0.06482875704849986,0.0453130733856762,0.06073352857492864,0.04015547780595212,0.04738089714991009,0.057600441769781435,0.03924108928450468,0.05375291470607573,0.03511050895692527,0.04217091321762453,0.05212264056263984,0.034027713152911816,0.047759074011239515,0.030950922674189012,0.03782613124404532,0.04748011979906038,0.02986811526419445,0.04259305304430168,0.027615766626402694,0.03401200832043485,0.04307243612263052,0.02629561456798137,0.03834304337700208,0.024705945954379766,0.03059349411460915,0.03926156969134544,0.02321008814845321,0.03452301011312493,0.021721654053138525,0.02777935252782131,0.03572482707758629,0.020680831913121565,0.03166322340798933,0.01949999775726695,0.02535514152506983,0.03259819152570048,0.01874570307852484,0.02911127175659288,0.01760747537509603,0.023011862640638772,0.029512279250604265,0.016956076206748976,0.026708392913946333,0.015695919527891365,0.021122324288920285,0.026969828160808368,0.015550637973801178,0.024762320480145077,0.01422124627056559,0.0194334268057845,0.024585420079529286,0.014358105588882394,0.022947517563315,0.013169877400950474,0.010109726329377632,0.011617161667741396,0.007808279125567745,0.012859433377161621,0.0068944594364438675,0.006479878192656739,0.0072716014749911505,0.004632373312522438,0.008863463210325469,0.0038806230128958464,0.004748107828960649,0.004973975820329917,0.0032210293421110906,0.006793278981657589,0.0029856334361658596,0.0018551135604338157,0.001498911218614547,0.0008812532464456608,0.0031429076685419526,0.000929825010301583,1.6552378208834188e-15,2.913350421137605e-15,7.834445488873242e-16,2.261411108401892e-15,6.62745205106854e-16,
KAE Baseline,40872,4,100,100,0,0.0022355675447033718,0.0016598509401960695,0.0018266126445632325,0.0003208124593518983,0.0006638592341958326,0.018318586175572416,0.033108866286929696,0.013332045605638996,0.005863081871320901,0.005828053021468804,0.03440416260088099,0.04778218160499818,0.03773656796198338,0.012903290872345678,0.029341187113896012,0.06432409713636145,0.06816040687030181,0.0754860527953133,0.025826050833566115,0.07442706333473324,0.10512884361731978,0.09305675440933556,0.11939774230122566,0.04578475907444954,0.138552049677819,0.157755838072227,0.12619097613729535,0.1761494880076498,0.072553552207537,0.21755641857162117,0.22239789848009536,0.16494266625959425,0.24975866206921638,0.10532599100843072,0.3117118287459016,0.2974411832707592,0.2159942391514778,0.33091019637882707,0.14573738304898143,0.42010781448334455,0.3824823169062669,0.28304213751107454,0.4222781145572662,0.19671009368263184,0.5366976545378566,0.47253005337917037,0.36672342382371426,0.5254848271235824,0.2577664395514876,0.6450385220348835,0.5576185518348744,0.46453527085483076,0.6251482355594635,0.32264781384728847,0.7301019458472728,0.6455992864820794,0.5735922661423684,0.7313022582232952,0.38642729992046954,0.8087376682460308,0.7198439666888897,0.6880448284000158,0.8148111449182034,0.4479588626511395,0.8571530289947986,0.7835645269835193,0.8030510129034519,0.8778840655088425,0.5042457098513842,0.8865993312001228,0.8433152372540268,0.9163606487214565,0.9269007357954979,0.5556621012464166,0.9149317866563798,0.8964492369405908,1.0272723443061114,0.9576134157180786,0.6045433768630027,0.9363227647542953,0.9442564292245463,1.1335524455457926,0.9748803234100342,0.6513765095360577,0.9522902223467827,0.9885251428497682,1.2315197139978409,0.9862396761775016,0.6971688899770379,0.9661127606034279,1.0298269050567839,1.3187567911297082,0.9941789773106575,0.7422986242175103,0.9816594403982163,1.06739487959016,1.39555941067636,0.9980335286259652,0.7867402763292194,0.9973515230417251,1.1011547275096256,1.4634062950313091,0.9972704508900643,0.8308697327971458,1.0117885580658912,1.1345490311314903,1.5233623515069485,0.9996777445077896,0.8751900763437152,1.0309509685635567,1.3603620050274987,1.8965559402108192,1.0595154392719268,1.206297791004181,1.108010549545288,1.4434353111512184,2.048563601672649,1.0878557181358337,1.2960984107106923,1.128763928413391,1.4825700934202957,2.0428695848584173,1.0951229178905486,1.4534414552152157,1.143220852613449,1.6522364695590748,2.112581843137741,1.1214307373762131,1.9589716935157775,1.1667743426561357,0.060224133059382436,0.2242189520597458,0.46264283247292043,0.7703549271821976,1.1318439790606498,1.5551228910684585,2.0211396330595015,2.5167707061767577,3.0210787999629973,3.5027788257598877,3.9790367209911346,4.383460592031479,4.707151973247528,4.9954051542282105,5.245029227733612,5.461221859455109,5.656394829750061,5.826702628135681,5.9849484610557555,6.125768313407898,6.263456497192383,7.217404091358185,7.772282214164734,8.3216548204422,10.580608091354371,14.464973935972914,14.986798629760742,15.031446743011475,13.630421152114868,14.163508701324464,0.7871276528852194,0.7138755199313164,0.7958753964304924,0.7610513217747211,0.8695083373785019,0.2987034754690328,0.242134710252285,0.29530959457159045,0.30061359524726866,0.3474040253460407,0.17639251216366858,0.13644599667633883,0.17088146096095444,0.17800845351070166,0.21201952777802943,0.12467597718737715,0.09636794792488218,0.12106342333951034,0.12673684012144804,0.14889941789209843,0.09695987425265322,0.07405365307582543,0.09658196743577718,0.09860537942498922,0.1143233486264944,0.08036301752161076,0.062457366161979735,0.08045500613050535,0.08198594167362899,0.0934731678571552,0.06939262506154967,0.055911764493212106,0.06905162814073265,0.0718490393133834,0.07877060647122562,0.06090699943406769,0.05061605594586581,0.06070479349546076,0.06478137301281095,0.06629454697016626,0.05433827548087031,0.04611126816249453,0.0544037207774818,0.05903911370784044,0.05691187833435833,0.049021829151545133,0.04282354160444811,0.04929486149922013,0.05351060168351978,0.0498531378665939,0.044377691355281974,0.04037233370821923,0.04439185009337962,0.04879961852915585,0.0435379547951743,0.04016425141300537,0.038021096027223394,0.03968979742377996,0.04467179631814361,0.037897430220618845,0.0364316233081987,0.03573359524831176,0.0355360232014209,0.04070281909778714,0.033356175599619745,0.032952256635911524,0.0334688177893986,0.03152277168352157,0.037053881250321864,0.029267180510796607,0.02995104297191109,0.031358494346495715,0.0278388500737492,0.034129275362938645,0.0257894498296082,0.027334293710474494,0.029440809066873044,0.024562338085379453,0.031547555318102244,0.022876549419015645,0.02513732537810633,0.027647235167678447,0.021837996820686385,0.029345517568290232,0.020618278050096705,0.023200248705106796,0.025956070898100734,0.01955428379616933,0.02739104631356895,0.018618515260750427,0.021482276003848503,0.0244091189885512,0.0175826274164865,0.025562525149434804,0.016957480960991235,0.02001283072623585,0.022977020746911877,0.015889662845002022,0.02402014071587473,0.015641660620458422,0.01093380485128919,0.012663131717126817,0.007743742633319926,0.014298112909309567,0.00730998402737896,0.006653031917579888,0.007628392768092454,0.004685082339710789,0.008932538876542821,0.004137476435007556,0.00450530425676901,0.004580859337438597,0.00290123835686245,0.006691429382190108,0.0026484679221539407,0.0015921771501163462,0.0013006268689969146,0.0007742136541764921,0.002712024753436708,0.0007028492096367245,1.6552378208834188e-15,2.913350421137605e-15,7.834445488873242e-16,2.261411108401892e-15,6.62745205106854e-16,
Advanced KAE (1 Expert),108344,4,100,100,0,0.0040802692394936455,0.0015787021990604135,0.0018363841616461237,0.0019203175607041603,0.002825134518698062,0.017940928649327077,0.028372851917811203,0.011319691370044894,0.014899276378564537,0.011505003604215745,0.05247151343583719,0.05505572276073508,0.056433403984410685,0.028066676519811155,0.0633201300073415,0.09472626289901334,0.08870571381878108,0.10526378117036074,0.04443070458481088,0.12234788404777647,0.13695920544716872,0.1233773317327723,0.15047201908193528,0.06449574637576007,0.1816804888099432,0.17755213727465652,0.15385238740593196,0.19598238877952098,0.08437505853129551,0.2385377150028944,0.2189843972551276,0.17798454256961121,0.248078309930861,0.10469293166417629,0.2960316026583314,0.2612173140258723,0.19990161654306576,0.301494154445827,0.12628448978997767,0.355148964188993,0.3057958284488021,0.22310134660452605,0.3542148043960333,0.14898433743976056,0.420244789943099,0.3505453711751809,0.252059734147042,0.4019797825813293,0.17504029718693345,0.4855587175488472,0.39196424052690765,0.2862078090943396,0.4500816888362169,0.2018727008253336,0.5378687939047814,0.43794641356806646,0.32197893284261225,0.5108187878131867,0.22617961352691054,0.592810897231102,0.47468069121432344,0.3618326264247298,0.5589482994377613,0.24984810570254923,0.6289013496041298,0.506338995754625,0.4061169568821788,0.5984599696099758,0.2745826353505254,0.6534797418117523,0.5398841524006196,0.4585820074379444,0.6341029468178749,0.30205731512978673,0.6799095275998116,0.5704888269083738,0.5175889127701521,0.6556548917293549,0.3346303102374077,0.7014776848256588,0.5992590111448913,0.5796862128935755,0.6676826879382134,0.3706296511366963,0.7191959637403488,0.6286858113179938,0.6437341029010714,0.677924445271492,0.4047916238754988,0.7369884598255158,0.6608967965437635,0.7094866287149489,0.6900726947188377,0.4374256447330117,0.7590951901674271,0.6942848979400466,0.7769313433580101,0.7045538932085037,0.4688348861038685,0.7799368095397949,0.7280688083723657,0.8473848915845156,0.7200216507911682,0.4999737825989723,0.7961599358916283,0.7667009535934673,0.9229393434710801,0.7428190433979034,0.5313167935609817,0.8157369127869606,1.126241686192344,1.654176393598318,0.8913369029760361,0.7863739092648029,0.9615177595615387,1.3162674179797154,2.02012261390686,0.970977286696434,0.9234109001606703,1.0265766924619675,1.4185353989345626,2.192703343331814,1.0102150017023086,1.0470596005022526,1.0602615731954574,1.587865053775424,2.3318789237737656,1.0478207993507385,1.5266201597452165,1.1041308170557023,0.07337207775563001,0.4285110467672348,0.8107213555276394,1.1851916036009789,1.532028317451477,1.8551996275782585,2.1611042630672457,2.4607917404174806,2.766272032856941,3.062740896940231,3.3675884449481965,3.629107504487038,3.868368756771088,4.106013224124909,4.307217342853546,4.482741631269455,4.658637493848801,4.835667408704758,4.998023414611817,5.146678996086121,5.304968065023422,6.610252931118011,7.3724961495399475,8.002838978767395,10.664191858768463,14.697687424479687,14.573707304000855,14.532276020050048,14.761721878051757,14.919773416519165,0.8438728714760996,0.7772591835260392,0.9005941307544708,0.7774442657828331,0.9104199469089508,0.2952776408910122,0.26844491355121136,0.31943236410617826,0.26855013562366364,0.32021345794200895,0.1641364510592086,0.14975032998248936,0.17412619001232088,0.1530354973115027,0.17775866631418466,0.11019496602843794,0.09886664172867313,0.11510422835126519,0.10499981172382832,0.12051209673285485,0.08103868536779206,0.07313358897343278,0.08407339468598365,0.07910073086619378,0.08715096643660218,0.06318194056316027,0.056582546074641867,0.06504498242167756,0.06265171678736806,0.06789814856369049,0.05191227276191158,0.04485757228918374,0.05440872607752681,0.05171619399450719,0.05596838631667197,0.044292130986291374,0.038131249810103324,0.04613186226983089,0.04465936001390219,0.047650520498864354,0.038693010905708106,0.034409044003114106,0.0404517740290612,0.038625721167773006,0.04094290786888451,0.034624154567150726,0.03165156942326575,0.03663063098210841,0.03440906057781831,0.035605054346378895,0.030872173784633722,0.028792271675774826,0.032907750946469604,0.030765047325985506,0.030886264571454377,0.027904897774004657,0.02658144330140203,0.029861934604123234,0.027872832318535073,0.027194305127486586,0.025639274595232964,0.025018494205141906,0.02731048800982535,0.025707306349650027,0.024430231265723704,0.02362490596688426,0.024010839137481525,0.024494859972037375,0.023934480524621903,0.021981055676587858,0.02175412326716728,0.023089793630642817,0.021595050080213694,0.022579211962292903,0.0195872904144926,0.02024611903446631,0.02230319300258998,0.01910469126829412,0.021413596624042838,0.017850982518793898,0.019108047539429993,0.021634714755928142,0.01742534920471371,0.02045581382000819,0.01644159136340022,0.017985312686364403,0.02093161362223327,0.01588288917206228,0.019285543036530725,0.015216934717900586,0.016963904626829812,0.02024835850286763,0.014560190556803718,0.01821892995169037,0.01404178268800024,0.01611484499899874,0.019615776208229362,0.01335877286386676,0.017415622161934152,0.013123015408054925,0.010648641065236778,0.014091435039881616,0.0074046353023186386,0.012040771306492387,0.0074294607506999455,0.007303629657251563,0.009957301461254247,0.004827834012394306,0.008460459961934248,0.004397363786647474,0.005295582467185271,0.007206828973721713,0.0032906231438391844,0.006364490114210639,0.0029831955554254818,0.001786900166541311,0.0019214078856020934,0.0008880630376370391,0.0027664799044578104,0.0007988576452044072,1.6552378208834188e-15,2.913350421137605e-15,7.834445488873242e-16,2.261411108401892e-15,6.62745205106854e-16,1.0065971612930298
