model,n_params,n_x,n_valid,n_total,n_diverged,one_step_mse,one_step_mse_dim0,one_step_mse_dim1,one_step_mse_dim2,nrmse_1step,nrmse_1step_dim0,nrmse_1step_dim1,nrmse_1step_dim2,nrmse_10step,nrmse_10step_dim0,nrmse_10step_dim1,nrmse_10step_dim2,nrmse_20step,nrmse_20step_dim0,nrmse_20step_dim1,nrmse_20step_dim2,nrmse_50step,nrmse_50step_dim0,nrmse_50step_dim1,nrmse_50step_dim2,nrmse_100step,nrmse_100step_dim0,nrmse_100step_dim1,nrmse_100step_dim2,nrmse_500step,nrmse_500step_dim0,nrmse_500step_dim1,nrmse_500step_dim2,nrmse_1000step,nrmse_1000step_dim0,nrmse_1000step_dim1,nrmse_1000step_dim2,chamfer_1step,chamfer_10step,chamfer_20step,chamfer_50step,chamfer_100step,chamfer_500step,chamfer_1000step,divergence_1step,divergence_1step_dim0,divergence_1step_dim1,divergence_1step_dim2,divergence_10step,divergence_10step_dim0,divergence_10step_dim1,divergence_10step_dim2,divergence_20step,divergence_20step_dim0,divergence_20step_dim1,divergence_20step_dim2,divergence_50step,divergence_50step_dim0,divergence_50step_dim1,divergence_50step_dim2,divergence_100step,divergence_100step_dim0,divergence_100step_dim1,divergence_100step_dim2,divergence_500step,divergence_500step_dim0,divergence_500step_dim1,divergence_500step_dim2,divergence_1000step,divergence_1000step_dim0,divergence_1000step_dim1,divergence_1000step_dim2,reconstruction_error,recon_error_dim0,recon_error_dim1,recon_error_dim2,spectral_radius
VAR (ARIMA),90,3,10,10,0,2.8942713893949987,0.02719687204384752,3.319695152629047,2.4416522013041138,0.14602691320111408,0.022413848619908094,0.1948329843347892,0.15971632897853852,0.7109250907511238,0.3361297018826008,0.7886100757867098,0.8839425466954708,1.0073106734077353,0.6285624638199806,1.0035616293549539,1.281326524913311,1.1198590661203123,0.9277466744184494,1.1797515362501145,1.2287088364362717,1.1285351784573825,1.0929734468460084,1.1735111355781556,1.117611563205719,1.0974702145158353,1.132278025150299,1.1403570413589477,1.015310251712799,1.098428657091279,1.1375857591629028,1.139511638879776,1.0134339690208436,1.6946909070014953,11.905061519145965,18.12750401496887,17.620125579833985,15.824709510803222,14.630513191223145,13.489631175994873,17.47159598596365,16.181444358825683,17.829321479797365,18.331561660766603,1.0230470329368935,1.0364558517932891,0.9940511643886566,1.0380256474018097,0.3500152501621297,0.3720282256603241,0.3441408634185791,0.3327072158455849,0.06294903768724877,0.0772927651181817,0.06798989530652762,0.03592974580824375,0.01862477203126736,0.026258832216262816,0.01565267122350633,0.010301165655255318,0.0006329669004670902,0.0007084740995196625,0.0001907617086544633,0.000814626117971784,0.0001966159826729292,0.0001463612424686289,-3.206021301593864e-05,0.00030581704231735785,0.0,0.0,0.0,0.0,
eDMD,3844,3,10,10,0,7.226295801956439e-05,5.812373249552441e-07,3.1655047006678854e-08,0.00014390849211775198,0.0007761849706843153,8.987567844087607e-05,2.2063253163651096e-05,0.0013412027816229965,0.004826251597628034,0.0006378408681484871,0.0019922344421502204,0.00809334754012525,0.008074908121605575,0.0025025135197211056,0.0054054090636782345,0.012654303712770343,0.01822763305416782,0.013502861885353924,0.019375608209520577,0.020952287409454585,0.041393874551403656,0.03256947649642825,0.04379889946430922,0.04648918323218822,0.7602766452044207,0.7559842139482498,0.7854860320687294,0.7386212110519409,0.9975662083525799,1.0172948479652404,1.0326013088226318,0.9403513967990875,0.010251039487775416,0.10076440088450908,0.17667381688952447,0.4208117753267288,0.7823080092668533,3.131354010105133,2.810279941558838,11.397082539390475,10.804172897338868,9.542536735534668,13.486671638488769,0.8466344545780365,0.7238302648067474,0.9392932176589965,0.8626515507698059,0.34531835138342404,0.34781081080436704,0.38754153847694395,0.2942337289452553,0.10829430921949058,0.1328816033899784,0.12040400505065918,0.05503023965284228,0.04619952922166221,0.05525029022246599,0.048114063963294026,0.03218123335391283,0.00909572105178764,0.009922508616000414,0.008965820260345935,0.008327923761680723,0.0031470971394026515,0.0034535793587565423,0.003048704459797591,0.002913906646426767,2.576355149807322e-13,1.7288873450288449e-13,6.613743996987773e-14,5.338803704694343e-13,
KAE Baseline,39155,3,10,10,0,0.08750146254897118,0.029276627247174745,0.05870176421499475,0.08702440060055408,0.023919734169050546,0.020978911966085433,0.022191338380798696,0.02799804996320745,0.2909943884391631,0.19906711168587207,0.3092200614511967,0.3446569902822375,0.8546045229019879,0.6758573815226555,0.933875946700573,0.9285145059227944,1.3480476895145295,1.1119453340768815,1.6490515977144242,1.2230715930461884,1.4135532811998697,1.2573570311069489,1.6508315086364747,1.299310302734375,1.1964074370161568,1.1093870401382446,1.3547677457332612,1.1081683158874511,1.1875268968412704,1.1240108728408813,1.3503207325935365,1.0695297420024872,0.3714154399931431,4.963047838211059,13.270423460006715,19.211228942871095,19.010144329071046,14.82572536468506,13.69067997932434,16.31160554422965,16.383156394958498,16.454360580444337,16.095080947875978,1.1028449167724514,1.0663875699043275,1.121929782629013,1.119326514005661,0.43442011936514097,0.43086499273777007,0.43278382420539857,0.4395634651184082,0.09020537354864108,0.08651245497167111,0.0941503405570984,0.08979051597416401,0.024638131278435362,0.02631836445070803,0.023714220710098745,0.02379268726799637,0.0004363007732503699,-0.00019179960638666672,-0.00013660799522767774,0.0007180712087574648,0.00015175889462693462,-4.8306359531125054e-05,0.000126632624596823,0.00022521758437505924,2.576355149807322e-13,1.7288873450288449e-13,6.613743996987773e-14,5.338803704694343e-13,
Advanced KAE (1 Expert),106452,3,10,10,0,0.07490519429557026,0.02971347870492779,0.07181108736061383,0.04828581109489912,0.022299060360310978,0.016862087743356825,0.021633028308860956,0.027192395296879113,0.15851079313390826,0.15577144948765637,0.20910817440599203,0.08594208247959614,0.35467932092900034,0.3783210478723049,0.3914491131901741,0.284663026407361,0.6494540577029289,0.6110649526119232,0.6778227262198925,0.6576683774590493,0.6655626494072279,0.6329212725162506,0.6649435847997666,0.6972672462463378,0.9106086684004548,0.8528239130973816,0.8983311653137207,0.9763795018196106,1.003342341763397,0.9967592716217041,1.0061757028102876,1.0070595681667327,0.3167771950364113,2.7373623847961426,6.253556609153748,11.072321319580078,9.381477546691894,9.461444234848022,8.612547540664673,16.14063044876889,15.75765552520752,16.15484676361084,16.500820350646972,0.9641836689352182,1.0127480447292327,0.9737490475177765,0.9028314530849457,0.3615146014481088,0.3885616183280945,0.33498175591230395,0.35900628566741943,0.08430827692407392,0.08715921677649022,0.08460995629429817,0.08104370981454849,0.022495120644851496,0.020496434136293828,0.0201373437885195,0.026314918417483568,0.0020213637701342576,0.0019466402485704749,0.0018289888845174572,0.0022634323220700027,0.0006815910136413285,0.0007874091781559401,0.0006040710504748859,0.0006393620897142682,2.576355149807322e-13,1.7288873450288449e-13,6.613743996987773e-14,5.338803704694343e-13,0.9999593496322632
MoE (2 Experts),110072,3,10,10,0,0.0452395360218361,0.0192510805941948,0.04992437672584742,0.02130365680082392,0.017493144942720498,0.016027684905566275,0.020537918887566776,0.01547053859103471,0.1235169548428437,0.09103570776060224,0.14909900072962046,0.12349616307765246,0.24902442246083104,0.1407168879173696,0.2715235074982047,0.3041598778218031,0.4578969599400784,0.32981269545853137,0.5098242901265622,0.5102074645459652,0.5119819863961187,0.42038336843252183,0.5449890226125718,0.5591434985399246,0.9657766423680819,0.9978711843490601,0.9990014910697937,0.8968961417675019,1.0620594544939965,1.1209411323070526,1.1053574860095978,0.9516231715679169,0.2666199654340744,1.8942049622535706,4.05129182934761,7.640304207801819,7.700700855255127,9.192525577545165,9.016737461090088,16.038083992615515,15.96438388824463,16.119872093200684,16.029615879058838,0.9587160855919249,0.9158939778804779,1.0080711185932159,0.9499160170555114,0.334189543266542,0.28244477659463885,0.34894064366817473,0.3653947561979294,0.08291880695981368,0.08751952014863491,0.08230471536517144,0.07869468256831169,0.0250174427950105,0.028778083148063162,0.02151375776156783,0.024219774757511914,0.0031553353212387396,0.004035725968424231,0.002596046688267961,0.0026156988489674403,0.000944599770584705,0.0012191758782137186,0.0007023729049251415,0.0008349183553946204,2.576355149807322e-13,1.7288873450288449e-13,6.613743996987773e-14,5.338803704694343e-13,0.9998813271522522
MoE (3 Experts),110555,3,10,10,0,0.05606981872115284,0.026507991537172475,0.03443963532753628,0.05119184515120778,0.023593030254067296,0.01975461186375469,0.020022778166458012,0.02964349666144699,0.10967320900757126,0.05646938169375062,0.13506511878222227,0.12105065444484353,0.1866078661718898,0.1083321651443839,0.19942704327404498,0.23013144843280314,0.3788233220074122,0.27300747483968735,0.4349868133664131,0.4083806052803993,0.4179601964069771,0.34269716367125513,0.46329476237297057,0.4381652593612671,1.139936467763293,1.1713920891284944,1.2246021509170533,1.0131907999515533,1.5085942765614317,1.5883695960044861,1.6989444971084595,1.1908986926078797,0.31788661032915116,1.6287327796220779,2.778374361991882,4.756893610954284,5.279245495796204,8.787572026252747,9.480077981948853,16.365810708182032,16.07295513153076,16.437773513793946,16.582490634918212,0.8983712618411589,0.8165231108665466,0.9471149265766143,0.926000052690506,0.3105362063166863,0.28488000854849815,0.3060192197561264,0.3383693605661392,0.07856893013747684,0.08771847821772098,0.06991412155330182,0.07705007810145617,0.024533516260722553,0.026549617061391473,0.021609129244461657,0.02517625126056373,0.004960278516741902,0.005901458114385605,0.004975881590507924,0.0037718010833486916,0.001911517068943165,0.0022088951358455234,0.00213112292040023,0.0012412855801812838,2.576355149807322e-13,1.7288873450288449e-13,6.613743996987773e-14,5.338803704694343e-13,1.0068025588989258
MoE (4 Experts),111038,3,10,10,0,0.056787926331162454,0.025076013858256908,0.05603937812111585,0.03246058317802867,0.019552910490842092,0.015977345722785686,0.0212182896444574,0.021010890847537666,0.09404865338226213,0.06000993419438601,0.14156635981053114,0.05378867145627737,0.18414701839457528,0.135202157124877,0.23348810859024524,0.1701001264154911,0.4766475693129993,0.3377211049199104,0.5672465056180954,0.4957363948225975,0.4918171087311191,0.43586164265871047,0.5549227774143219,0.4772185504436493,1.1819756217802198,1.3404481828212738,1.2847834050655365,0.8623974621295929,1.3562667073568337,1.5720840573310852,1.4627318859100342,0.9525467395782471,0.3038155272603035,1.816510909795761,3.487180733680725,7.62283810377121,7.125508451461792,11.741315126419067,11.015013790130615,15.968081697309676,15.349890899658202,16.314180755615233,16.222430610656737,0.9030228474237556,0.8927251249551773,0.9451521933078766,0.869528591632843,0.3499602671293744,0.35793994963169096,0.3331918478012085,0.3581602305173874,0.08628798517934409,0.08428918309509754,0.09082938488572836,0.08355959318578243,0.022383112438037284,0.024486666638404132,0.019778931926703082,0.022632016614079476,0.003939222620314715,0.004952119826339185,0.003607720520813018,0.0030022135877516122,0.0013090015922855621,0.001610979699762538,0.0012015206593787298,0.0010495465772692113,2.576355149807322e-13,1.7288873450288449e-13,6.613743996987773e-14,5.338803704694343e-13,1.0025215148925781
